candidate_id,legal_source_id,legal_duty_id,jurisdiction,authority_class,application_state_2026_09_14,duty_bearer,trigger_scope,requirement_candidate,evidence_required,technical_control_candidate,primary_destination,limitations,destination_acceptance,source_record_path,verification_state
R020-CAND-001,EU-001,R003-EU-003-ART4,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-02-02,Provider and deployer,"AI systems within Article 4 actor/scope conditions","Maintain context-sensitive AI-literacy measures for staff and other persons operating or using AI systems on the actor's behalf","Role-based training records; competence content; attendance/completion evidence; periodic review record","Role-based AI literacy program with training assignment and evidence capture",ETHICAL_AI,"No guaranteed individual literacy level inferred; context and technical knowledge/experience/use context matter",NOT_RUN,20_JURISDICTIONS/EU/EU_AI_ACT_PHASED_APPLICATION_MATRIX.csv,VERIFIED_BASELINE
R020-CAND-002,EU-001,R003-ART50-INTERACTION,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2026-08-02,Provider,"AI system intended to interact directly with natural persons where Article 50(1) applies","Provide the legally required disclosure that the person is interacting with an AI system at the required time and in the required manner","User-interface disclosure specification; screenshots/test evidence; accessibility review; release trace","Human-facing AI-interaction disclosure control with testable UX acceptance criteria",ETHICAL_AI,"Article 50 exceptions and exact subparagraph scope remain controlling; no disclosure beyond source scope inferred",NOT_RUN,20_JURISDICTIONS/EU/EU_AI_ACT_CURRENT_CONSOLIDATED_PHASED_APPLICATION_MAP_2026-09-14.md,VERIFIED_CURRENT_CONTROLLED_TEXT
R020-CAND-003,EU-001,R003-EU-011-ART50-2,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2026-08-02_WITH_LEGACY_TRANSITION_TO_2026-12-02,Provider,"AI systems generating synthetic audio/image/video/text within Article 50(2)","Implement the Article 50(2) machine-readable marking/detectability requirement for in-scope synthetic outputs","Output samples; marking/detectability test results; model/system version linkage; exception analysis","Synthetic-output provenance/marking and detectability verification control",OWASP,"Legacy systems described by Article 111(4) have transition until 2026-12-02; exact exceptions and technical feasibility wording control",NOT_RUN,20_JURISDICTIONS/EU/EU_AI_ACT_PHASED_APPLICATION_MATRIX.csv,VERIFIED_BASELINE
R020-CAND-004,EU-001,R003-ART53-DOC,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-08-02_WITH_LEGACY_MODEL_TRANSITION,Systemic or non-systemic GPAI provider as applicable,"GPAI model provider within Article 53 documentation/downstream-information scope","Maintain required model technical documentation and provide required information/documentation to downstream AI-system providers","Versioned technical documentation; distribution record; change history; downstream handoff evidence","Version-controlled model documentation and downstream information handoff workflow",ENGINEERING_OS,"Article 111(3) legacy-model transition applies; exact Article 53 scope and free/open-source qualification preserved",NOT_RUN,20_JURISDICTIONS/EU/EU_AI_ACT_CURRENT_CONSOLIDATED_PHASED_APPLICATION_MAP_2026-09-14.md,VERIFIED_CURRENT_CONTROLLED_TEXT
R020-CAND-005,EU-001,R003-ART53-COPYRIGHT,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-08-02_WITH_LEGACY_MODEL_TRANSITION,GPAI provider,"GPAI model provider within Article 53 copyright-policy scope","Maintain a policy to comply with Union copyright law as required by Article 53","Approved copyright-compliance policy; ownership/review record; operational procedures; update history","Governed copyright-compliance policy lifecycle with review and traceability",ENGINEERING_OS,"Candidate does not define what Union copyright law requires in a concrete training/data scenario; Article 53 qualifications preserved",NOT_RUN,20_JURISDICTIONS/EU/EU_AI_ACT_CURRENT_CONSOLIDATED_PHASED_APPLICATION_MAP_2026-09-14.md,VERIFIED_CURRENT_CONTROLLED_TEXT
R020-CAND-006,EU-001,R003-ART53-TRAINING-SUMMARY,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-08-02_WITH_LEGACY_MODEL_TRANSITION,GPAI provider,"GPAI model provider within Article 53 public-summary scope","Prepare and make publicly available the required sufficiently detailed summary about content used for training according to the applicable template/rule","Published summary; publication timestamp; source/version trace; approval record","Controlled training-content-summary publication workflow with version history",ETHICAL_AI,"Candidate does not infer disclosure of protected/confidential material beyond the legal rule; Commission template/implementation details control",NOT_RUN,20_JURISDICTIONS/EU/EU_AI_ACT_CURRENT_CONSOLIDATED_PHASED_APPLICATION_MAP_2026-09-14.md,VERIFIED_CURRENT_CONTROLLED_TEXT
R020-CAND-007,EU-001,R015-GOV-002-EVAL,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-08-02_WITH_LEGACY_MODEL_TRANSITION,Systemic-risk GPAI provider,"GPAI model classified as having systemic risk and within Article 55","Perform required model evaluation including adversarial testing under Article 55","Evaluation plan; adversarial-test cases/results; evaluator identity; remediation records; version linkage","Repeatable adversarial-evaluation pipeline with release gating and evidence retention",OWASP,"Systemic-risk classification and exact Article 55 testing standard must be established separately; no universal test suite inferred",NOT_RUN,75_CORPORATE_GOVERNANCE/AI-LAWS-R015_GOVERNANCE_DUTY_MATRIX_2026-09-14.csv,VERIFIED_CURRENT_CONTROLLED_TEXT
R020-CAND-008,EU-001,R015-GOV-002-RISK,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-08-02_WITH_LEGACY_MODEL_TRANSITION,Systemic-risk GPAI provider,"GPAI model classified as having systemic risk and within Article 55","Assess and mitigate systemic risks as required by Article 55","Systemic-risk register; assessment evidence; mitigation decisions; residual-risk review; change history","Systemic-risk assessment and mitigation workflow linked to model versions and release decisions",ENGINEERING_OS,"No universal risk taxonomy or zero-risk requirement inferred; exact Article 55 standard and classification control",NOT_RUN,75_CORPORATE_GOVERNANCE/AI-LAWS-R015_GOVERNANCE_DUTY_MATRIX_2026-09-14.csv,VERIFIED_CURRENT_CONTROLLED_TEXT
R020-CAND-009,EU-001,R015-GOV-002-INCIDENT,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-08-02_WITH_LEGACY_MODEL_TRANSITION,Systemic-risk GPAI provider,"Serious incident within Article 55 reporting/tracking scope","Maintain serious-incident tracking and reporting capability sufficient to perform Article 55 duties","Incident record; classification rationale; notification/report receipt; timeline; corrective-action evidence","Serious-incident intake/classification/reporting workflow with immutable event chronology",ENGINEERING_OS,"Serious-incident definition and reporting destination/timing are source-controlled; incident does not prove causation or liability",NOT_RUN,75_CORPORATE_GOVERNANCE/AI-LAWS-R015_GOVERNANCE_DUTY_MATRIX_2026-09-14.csv,VERIFIED_CURRENT_CONTROLLED_TEXT
R020-CAND-010,EU-001,R015-GOV-002-CYBER,EU,BINDING_EU_REGULATION,APPLICABLE_FROM_2025-08-02_WITH_LEGACY_MODEL_TRANSITION,Systemic-risk GPAI provider,"GPAI model classified as having systemic risk and within Article 55 cybersecurity scope","Implement cybersecurity protection measures required by Article 55 for the model and relevant infrastructure","Threat model; access-control evidence; security test results; vulnerability/remediation records; monitoring evidence","Model/infrastructure security control baseline with adversarial testing vulnerability handling and monitoring",OWASP,"Article 55 does not by itself prescribe one OWASP control set; candidate control vocabulary remains destination-review material",NOT_RUN,75_CORPORATE_GOVERNANCE/AI-LAWS-R015_GOVERNANCE_DUTY_MATRIX_2026-09-14.csv,VERIFIED_CURRENT_CONTROLLED_TEXT
