source_id,layer,official_page_state,enactment_or_publication_date,commencement_or_application_state,binding_state,r009_use_state,required_next_recheck
GB-001,DATA_PROTECTION,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,2016-04-27,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK data-protection law; exact provision-level effect/currentness must be rechecked,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-002,DATA_PROTECTION,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,2018-05-23,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK Act; exact provision-level effect/currentness must be rechecked,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-003,DATA_PROTECTION_AND_DIGITAL,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_STAGED_COMMENCEMENT_RECHECK_REQUIRED,2025-06-19,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK Act with provision-specific commencement/currentness dependencies,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-004,ONLINE_SAFETY,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_STAGED_COMMENCEMENT_AND_OFCOM_IMPLEMENTATION_RECHECK_REQUIRED,2023-10-26,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK Act with provision-specific commencement and secondary/regulator implementation dependencies,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-005,COMPETITION_AND_CONSUMER,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,2024-05-24,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK Act with provision-specific commencement/currentness dependencies,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-006,CONSUMER,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,2015-03-26,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK Act; application to a concrete AI product/service depends on facts and provision,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-007,PRODUCT_LIABILITY,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,1987-05-15,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK Act; product-liability application to AI remains a separate legal analysis,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-008,PRODUCT_REGULATION,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECONDARY_REGULATION_AND_SECTION_LEVEL_RECHECK_REQUIRED,2025-07-21,SECTION_OR_PROVISION_LEVEL_NOT_NORMALIZED_R009,binding UK Act/enabling product-regulation framework; concrete duties may depend on secondary regulations and commencement,ELIGIBLE_WITH_STATED_LIMITS,"Recheck exact provision text, amendments, commencement, territorial extent and any secondary instrument before material legal claim."
GB-009,AI_GOVERNANCE_POLICY,OFFICIAL_GOVUK_CURRENT_PAGE_VERIFIED_NONBINDING_PROPOSAL_UPDATED_2025-12-18,2025-10-21,NOT_APPLICABLE_POLICY_PROPOSAL,closed call for evidence / proposed regulatory sandbox modifications; nonbinding; not enacted law,ELIGIBLE_WITH_STATED_LIMITS,"Recheck whether proposal was adopted, modified, closed or implemented; do not treat call for evidence as law."
GB-010,AI_GOVERNANCE_REGULATORS,OFFICIAL_GOVUK_PAGE_VERIFIED_NONBINDING_REGULATOR_STRATEGY_SNAPSHOT,2024-05-01,NOT_APPLICABLE_NONBINDING_SOURCE,official nonbinding notice/coordination record; not statute,ELIGIBLE_WITH_STATED_LIMITS,"Recheck regulator/government update, replacement or withdrawal and underlying binding-law locator before material duty claim."
GB-011,DATA_PROTECTION_AI_GUIDANCE,OFFICIAL_ICO_AI_HUB_ACCESSIBLE_CURRENTNESS_DATE_NOT_NORMALIZED_R009,UNKNOWN,NOT_APPLICABLE_NONBINDING_SOURCE,official regulator guidance; nonbinding as guidance; underlying UK GDPR/DPA duties remain separate legal authority,ELIGIBLE_WITH_STATED_LIMITS,"Recheck regulator/government update, replacement or withdrawal and underlying binding-law locator before material duty claim."
GB-012,COMPETITION_AI,OFFICIAL_GOVUK_CMA_PAGE_VERIFIED_UPDATED_2024-04-16_NONBINDING_REVIEW,2023-05-04,NOT_APPLICABLE_NONBINDING_SOURCE,official regulator market-study/review material; not statute or court holding,ELIGIBLE_WITH_STATED_LIMITS,"Recheck regulator/government update, replacement or withdrawal and underlying binding-law locator before material duty claim."
GB-013,AI_POLICY,OFFICIAL_GOVUK_POLICY_PAPER_PAGE_VERIFIED_NONBINDING,2025-01-13,NOT_APPLICABLE_NONBINDING_SOURCE,government policy paper; nonbinding; not statute,ELIGIBLE_WITH_STATED_LIMITS,"Recheck regulator/government update, replacement or withdrawal and underlying binding-law locator before material duty claim."
