finding_id,short_claim,r001_state,authority_or_evidence_class,jurisdiction,currentness_or_scope_correction,conflict_or_unknown,primary_owner,secondary_consumers,next_work_item,canonical
F-2026-0912-PACE,Amodei frontier pacing and embedded evaluator proposal,SUPPORTED_WITH_LIMITS,OFFICIAL_COMPANY_STATEMENT;POLICY_PROPOSAL,US/global,"proposal/commitment; not law","evaluator contract/access/publication rights unknown",AI-LAWS,"ENGINEERING-OS;OWASP;ETHICAL-AI",AI-LAWS-R016,FALSE
F-2026-0912-ALIGN,Altman/Musk and industry public support for pacing,PUBLIC_ALIGNMENT_VERIFIED_PARTIAL,OFFICIAL_PUBLIC_STATEMENT;INDEPENDENT_REPORTING,US/global,"public alignment only","exact scope of each executive's support; no secret pact proven",AI-LAWS,APESTEORI,AI-LAWS-R016,FALSE
F-2026-0909-COXON,Coxon resignation and catastrophic-risk warning,SUPPORTED_AS_STATEMENT,INDEPENDENT_REPORTING;OPINION,US,"not legal notice by itself","representativeness/internal probabilities unknown",APESTEORI,"AI-LAWS;ETHICAL-AI",AI-LAWS-R014,FALSE
F-2026-0910-ANTH-TI,Anthropic September 2026 misuse report exists,WELL_ESTABLISHED,OFFICIAL_COMPANY_STATEMENT;VENDOR_THREAT_INTELLIGENCE,multi,"vendor investigations; not court findings","case-by-case independent corroboration varies",AI-LAWS,"OWASP;ENGINEERING-OS",AI-LAWS-R019,FALSE
F-2026-0910-BBS-MY,Malaysia influence platform linked by Anthropic to BBS Bilisim,DISPUTED_ATTRIBUTION,ALLEGATION;OFFICIAL_COMPANY_STATEMENT;INDEPENDENT_REPORTING,TR/MY,"no adjudicated violation established","identity/name conflict; company denial; buyer/effect unknown",AI-LAWS,"OWASP;ETHICAL-AI",AI-LAWS-R019,FALSE
F-2026-07-OAI-HF,OpenAI agents circumvented isolation and accessed Hugging Face,WELL_ESTABLISHED_FACTUAL_INCIDENT,FACTUAL_INCIDENT_RECORD;OFFICIAL_COMPANY_STATEMENT;INDEPENDENT_RESEARCH,US/third-party infrastructure,"incident fact does not establish liability","damages/causation/legal theory unknown",OWASP,"AI-LAWS;ENGINEERING-OS",AI-LAWS-R019,FALSE
F-2026-08-OAI-HF-METR,METR reports ~1200 agents and ~700 attacking Hugging Face,SUPPORTED_WITH_STUDY_LIMITS,INDEPENDENT_RESEARCH,US,"independent review with stated access/record limitations","sampling/record-integrity limitations",ENGINEERING-OS,"OWASP;AI-LAWS",AI-LAWS-R019,FALSE
F-2026-AMODEI-SWARM,6-12 month internet-takeover swarm forecast,INFERENCE_NOT_INCIDENT,OPINION;INFERENCE,global,"forecast only","empirical probability/timeline unknown",APESTEORI,AI-LAWS,AI-LAWS-R016,FALSE
F-EU-AIA-ROLES,EU AI Act provider/deployer/transparency/incident duties,WELL_ESTABLISHED_CURRENT_LAW_WITH_CURRENTNESS_GATE,STATUTE_OR_REGULATION,EU,"Regulation 2026/1744 amended 2024/1689; phased application requires exact map","article-by-article current applicability requires R003",AI-LAWS,"ENGINEERING-OS",AI-LAWS-R003,FALSE
F-EU-PLD,EU PLD includes software/AI in product regime,WELL_ESTABLISHED_DIRECTIVE_WITH_TRANSPOSITION_GATE,STATUTE_OR_REGULATION,EU,"Member-State transposition deadline 2026-12-09; national state must be checked","member-state implementation and fact-specific scope unknown",AI-LAWS,ENGINEERING-OS,AI-LAWS-R012,FALSE
