source_id,primary_pack,jurisdiction,title,document_id,authority_class,binding_state,official_url,preferred_ingest,priority,verification_state,last_verified,rights_or_use_state,notes
INT-001,NB01,COE,Council of Europe Framework Convention on Artificial Intelligence and Human Rights Democracy and the Rule of Law,CETS No.225,TREATY_OR_INTERNATIONAL_INSTRUMENT,treaty instrument; Article 30 entry-into-force threshold not met as of R004 snapshot,https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_CURRENT_TREATY_STATUS_R004,2026-09-14,OFFICIAL_PUBLIC_URL,"R004 live Treaty Office baseline (status as of 2026-09-12): 21 signatories; 20 signature-only; 1 approval/ratification (EU, 2026-05-15); 0 CoE-member ratifications; Article 30 threshold unmet. Current declarations displayed for EU, Norway and Ukraine; no reservation entry displayed. Repository INT-001 binary is treaty text, not live status; recheck dynamic Treaty Office before country-effect claims."
INT-002,NB01,COE,Explanatory Report to CETS No.225,CETS 225 Explanatory Report,OFFICIAL_GUIDANCE,nonbinding explanatory report,https://rm.coe.int/1680afae67,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Use to interpret drafting context but not as treaty text
INT-003,NB01,UNESCO,Recommendation on the Ethics of Artificial Intelligence,UNESCO 41 C/Recommendation 2021,SOFT_LAW_RECOMMENDATION,nonbinding recommendation,https://unesdoc.unesco.org/ark:/48223/pf0000381137,PDF_DOWNLOAD_ALLOWED,P0,VERIFIED_OFFICIAL,2026-09-13,CC-BY-NC-SA 3.0 IGO per publication,Adopted 23 Nov 2021; source itself states open-access CC-BY-NC-SA 3.0 IGO; repository vendoring is rights-eligible subject to exact-byte acquisition and attribution
INT-004,NB01,UNESCO,Recommendation on the Ethics of Neurotechnology,UNESCO 43rd General Conference Recommendation 2025 / certified copy 2026,SOFT_LAW_RECOMMENDATION,nonbinding recommendation,https://unesdoc.unesco.org/ark:/48223/pf0000397812_eng,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL_CERTIFIED_COPY_PRIOR_PIN; R032_GITHUB_RUNNER_ACCESS_BLOCKED_403,2026-09-13,OFFICIAL_PUBLIC_URL_REPO_VENDORING_RIGHTS_NOT_PINNED,Adopted 11 Nov 2025; UNESCO published the certified copy on 31 Mar 2026. Use the certified-copy URL for NB06; do not infer public-repository binary vendoring rights without work-specific licence verification. R032 GitHub runner recheck returned HTTP 403 on 2026-09-14; preserve the prior verified certified-copy pin and do not claim fresh R032 content-body verification.
INT-005,NB01,OECD,OECD AI Principles,OECD Recommendation on AI updated 2024,SOFT_LAW_RECOMMENDATION,intergovernmental recommendation,https://www.oecd.org/en/topics/ai-principles.html,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Updated in 2024
INT-006,NB01,UN,Seizing the opportunities of safe secure and trustworthy AI systems for sustainable development,A/RES/78/265,TREATY_OR_INTERNATIONAL_INSTRUMENT,UN General Assembly resolution; not treaty,https://digitallibrary.un.org/record/4043244/,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,"Official full text is public at UN Digital Library/docs.un.org; generic UN copyright/reproduction terms do not justify automatic public-repository vendoring, so prefer URL ingestion unless permission is established"
INT-007,NB01,UN,Pact for the Future including Global Digital Compact,A/RES/79/1,TREATY_OR_INTERNATIONAL_INSTRUMENT,UN General Assembly outcome document; not treaty,https://docs.un.org/en/A/RES/79/1,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL_EXACT_A_RES_79_1_SOURCE_R032,2026-09-14,OFFICIAL_PUBLIC_URL_REPRODUCTION_PERMISSION_NOT_ESTABLISHED,"Use adopted official A/RES/79/1 source, not draft revisions. R032 resolved the official UN viewer and PDF chain: https://docs.un.org/en/A/RES/79/1 -> https://documents.un.org/doc/undoc/gen/n24/272/22/pdf/n2427222.pdf; 56 pages; 649956 bytes; SHA-256 0c3968d0ce8d55cf107309794adea6879d70f9aea60e6d6d64e3a8da4b028336; A/RES/79/1, Pact for the Future and Global Digital Compact markers verified. Prefer URL ingestion; no public-repository vendoring right inferred."
INT-008,NB01,UN,Governing AI for Humanity - Final Report,UN Advisory Body on AI 2024,OFFICIAL_GUIDANCE,advisory report; nonbinding,https://digitallibrary.un.org/record/4062495,URL_DIRECT_PREFERRED,P1,VERIFIED_OFFICIAL,2026-09-13,UN_COPYRIGHT_RESTRICTIONS_REPO_VENDORING_NOT_AUTHORIZED,Official report states Copyright © 2024 United Nations and reproduction restrictions; keep official URL as source instead of vendoring full PDF absent an adequate permission basis
EU-001,NB02,EU,Artificial Intelligence Act - current consolidated text,Regulation (EU) 2024/1689 consolidated 27/07/2026,STATUTE_OR_REGULATION,binding EU regulation with phased application,https://eur-lex.europa.eu/eli/reg/2024/1689,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Always recheck current consolidated version date
EU-002,NB02,EU,Digital Omnibus on AI,Regulation (EU) 2026/1744,STATUTE_OR_REGULATION,binding amending regulation,https://eur-lex.europa.eu/eli/reg/2026/1744/oj,URL_DIRECT_PREFERRED,P0,VERIFIED_OFFICIAL,2026-09-13,OFFICIAL_PUBLIC_URL,Amends Regulation 2024/1689 and related acts
