record_id,jurisdiction,layer,actor,authority,authority_class,binding_state,verified_duty_or_signal,ai_application,liability_or_scope_limit,currentness_state
R015-GOV-001,EU,AI-specific organizational governance,High-risk AI provider,Regulation (EU) 2024/1689 Articles 16-17,STATUTE_OR_REGULATION,BINDING_REGULATION,"Establish and document a quality-management system and related provider compliance processes","Direct AI-specific organizational duty for in-scope high-risk providers","Entity/provider obligation does not itself establish director/officer personal fiduciary liability",CURRENT_CONTROLLED_SNAPSHOT_VERIFIED
R015-GOV-002,EU,AI-specific organizational governance,Systemic-risk GPAI provider,Regulation (EU) 2024/1689 Article 55,STATUTE_OR_REGULATION,BINDING_REGULATION,"Model evaluation/adversarial testing; systemic-risk assessment and mitigation; serious-incident tracking/reporting; cybersecurity","Direct AI-specific organizational duty for in-scope providers","Does not itself prescribe corporate board architecture or universal AI committee",CURRENT_CONTROLLED_SNAPSHOT_VERIFIED
R015-GOV-003,US-DE,Corporate management,Board of directors,8 Del. C. § 141,STATUTE_OR_REGULATION,BINDING_STATE_STATUTE,"Corporation business and affairs managed by or under board direction subject to statutory/certificate exceptions","Corporate-law structural baseline for later oversight doctrine","Statutory text alone does not create an AI-specific oversight rule",CURRENT_OFFICIAL_HTML_VERIFIED
R015-GOV-004,US-DE,Officer structure,Corporate officers,8 Del. C. § 142,STATUTE_OR_REGULATION,BINDING_STATE_STATUTE,"Corporate officer offices/titles and appointment structure","Structural baseline for officer role analysis","Does not by itself define the full fiduciary oversight standard or AI-specific responsibility",CURRENT_OFFICIAL_HTML_VERIFIED
R015-GOV-005,US-DE,Board fiduciary oversight,Directors,Marchand v. Barnhill,COURT_PRECEDENT,BINDING_OR_HIGH_AUTHORITY_STATE_PRECEDENT,"Good-faith effort to implement a reasonable board-level reporting/monitoring system and monitor it; approach is context- and industry-specific","Analogical governance precedent where AI risk is sufficiently central under company-specific facts","ANALOGICAL_PRECEDENT != AI_PRECEDENT; AI is not automatically mission-critical; case reversed/remanded at pleading stage",OFFICIAL_FULL_TEXT_VERIFIED_2026-09-14
R015-GOV-006,US-DE,Officer fiduciary oversight,Corporate officers,In re McDonald's Corp. Stockholder Derivative Litigation (Jan. 26 2023),COURT_PRECEDENT,STATE_TRIAL_COURT_PRECEDENT,"Officers owe context-driven oversight duties; remit generally tracks area of responsibility; bad faith required for breach","Analogical precedent for AI governance responsibilities assigned to officers","Motion to dismiss denied; no final liability adjudication; not direct AI precedent",OFFICIAL_FULL_TEXT_VERIFIED_2026-09-14
R015-GOV-007,US-DE,Board red-flags oversight,Directors,In re McDonald's Corp. Stockholder Derivative Litigation (Mar. 1 2023),COURT_PRECEDENT,STATE_TRIAL_COURT_PRECEDENT,"Red-flags theory requires knowledge plus conscious disregard/bad-faith inference; meaningful response defeats pleaded bad-faith inference on those facts","Analogical counterweight for AI incident/red-flag analysis","Inadequate or negligent response is not automatically bad faith; director claims dismissed at pleading stage",OFFICIAL_FULL_TEXT_VERIFIED_2026-09-14
R015-GOV-008,US,Securities disclosure,SEC registrant,17 CFR § 229.105 (Regulation S-K Item 105),STATUTE_OR_REGULATION,BINDING_FEDERAL_REGULATION,"Disclose material risk factors under the applicable risk-factor framework","AI risk may fall within the rule when material under issuer-specific facts","No presumption that every AI risk is material or separately disclosable",CURRENT_OFFICIAL_TEXT_INDEPENDENTLY_VERIFIED_GITHUB_BODY_NOT_ADMITTED
R015-GOV-009,US,Securities governance disclosure,SEC registrant,Regulation S-K Item 407(h) / SEC Release 33-9089,STATUTE_OR_REGULATION,BINDING_DISCLOSURE_RULE_ADOPTED,"Disclosure concerning board leadership structure and extent of board role in risk oversight","AI governance may affect disclosure when relevant to the registrant's actual risk-oversight structure","Disclosure requirement does not mandate a dedicated AI committee or specific governance design",OFFICIAL_ADOPTING_RELEASE_VERIFIED_CURRENT_ECFR_BODY_LIMIT_OPEN
R015-GOV-010,US,AI disclosure enforcement signal,Public companies and other market participants,SEC Chair AI-washing statements,OFFICIAL_GUIDANCE,NONBINDING_GUIDANCE_SIGNAL,"AI-related public claims should have a reasonable factual basis and material statements must comply with existing securities-law requirements","Useful current enforcement/disclosure warning for AI claims","Not a new standalone AI disclosure regulation or private-liability rule",GITHUB_RUNNER_HTTP_403_OFFICIAL_PUBLIC_SOURCE_SEPARATELY_VERIFIED
R015-GOV-011,US,Operational AI governance,Voluntary AI-RMF users,NIST AI RMF 1.0,OFFICIAL_STANDARD_OR_FRAMEWORK,VOLUNTARY_NONBINDING,"GOVERN/MAP/MEASURE/MANAGE framework supplies organizational AI-risk-management outcomes and actions","Useful implementation/control vocabulary and evidence design","Does not itself create Delaware fiduciary duties SEC duties or EU legal obligations; revised version is in progress",OFFICIAL_PAGE_RECHECKED_2026-09-14
