source_key,jurisdiction,title,source_type,official_source,repository_state,live_or_independent_verification,currentness,authority_use,limitations
EU-001,EU,Artificial Intelligence Act — current consolidated snapshot,STATUTE_OR_REGULATION,https://eur-lex.europa.eu/eli/reg/2024/1689,EXISTING_EXACT_OFFICIAL_REPOSITORY_PDF,"R030 exact-official identity previously verified; R015 Article 17/55 markers reverified",CURRENT_CONTROLLED_SNAPSHOT,"Binding AI-provider organizational duties","No automatic board/officer personal-liability mapping"
US-007,US,NIST AI Risk Management Framework 1.0,OFFICIAL_STANDARD_OR_FRAMEWORK,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,EXISTING_REPOSITORY_PDF,"Official NIST page HTTP 200; GOVERN marker verified; NIST currently states 1.0 is being revised",CURRENT_BUT_REVISION_IN_PROGRESS,"Voluntary operational governance/control vocabulary","NONBINDING; not fiduciary/regulatory duty by itself"
US-DE-STAT-001,US-DE,Delaware General Corporation Law Title 8 §§ 141-142,STATUTE_OR_REGULATION,https://delcode.delaware.gov/title8/c001/sc04/index.html,URL_DIRECT_ONLY,"Official HTML HTTP 200; board/officer section markers verified; official Title 8 PDF also transiently verified",CURRENT_OFFICIAL_SOURCE,"Board-management and officer-structure statutory baseline","Dynamic code; current URL preferred over repository pin"
US-DE-CASE-001,US-DE,Marchand v. Barnhill,COURT_PRECEDENT,https://courts.delaware.gov/Opinions/Download.aspx?id=291200&lang=en,NOT_PINNED,"Official Delaware Supreme Court PDF independently verified; 39 pages; corrected June 19 2019; GitHub runner returned 244-byte HTML body",HISTORIC_PRECEDENT_FULL_TEXT_VERIFIED,"Analogical director-oversight precedent","Not direct AI precedent; reversed/remanded pleading-stage posture; later treatment not exhaustive"
US-DE-CASE-002,US-DE,In re McDonald's Corp. Stockholder Derivative Litigation — officer oversight opinion,COURT_PRECEDENT,https://courts.delaware.gov/Opinions/Download.aspx?id=343130,NOT_PINNED,"Official Delaware Chancery PDF independently verified; 66 pages; Jan. 26 2023; GitHub runner returned 244-byte HTML body",HISTORIC_PRECEDENT_FULL_TEXT_VERIFIED,"Analogical officer-oversight precedent","Motion to dismiss denied; no final personal-liability adjudication; not direct AI precedent"
US-DE-CASE-003,US-DE,In re McDonald's Corp. Stockholder Derivative Litigation — director dismissal opinion,COURT_PRECEDENT,https://courts.delaware.gov/Opinions/Download.aspx?id=344560,NOT_PINNED,"Official Delaware Chancery PDF independently verified; 79 pages; Mar. 1 2023; GitHub runner returned 244-byte HTML body",HISTORIC_PRECEDENT_FULL_TEXT_VERIFIED,"Analogical red-flags/bad-faith counterweight","Director claims dismissed at pleading stage; not direct AI precedent"
US-SEC-229.105,US,17 CFR § 229.105 — Regulation S-K Item 105,STATUTE_OR_REGULATION,https://www.ecfr.gov/current/title-17/chapter-II/part-229/subpart-229.100/section-229.105,URL_DIRECT_ONLY,"Official current text independently verified; GitHub runner HTTP 200 body not admitted as section identity",CURRENT_OFFICIAL_TEXT_VERIFIED_BOUNDED,"Material risk-factor disclosure framework","Every AI risk is not presumed material"
US-SEC-229.303,US,17 CFR § 229.303 — Regulation S-K Item 303,STATUTE_OR_REGULATION,https://www.ecfr.gov/current/title-17/chapter-II/part-229/subpart-229.300/section-229.303,URL_DIRECT_ONLY,"GitHub runner HTTP 200 body not section-verified",CURRENT_BODY_NOT_VERIFIED_IN_R015,"Current-source pointer only","No Item 303 substantive AI conclusion admitted in this bounded unit"
US-SEC-229.407,US,17 CFR § 229.407 — Regulation S-K Item 407,STATUTE_OR_REGULATION,https://www.ecfr.gov/current/title-17/chapter-II/part-229/subpart-229.400/section-229.407,URL_DIRECT_ONLY,"GitHub runner HTTP 200 body not section-verified; fixed official SEC adoption material independently verified",CURRENT_BODY_NOT_VERIFIED_IN_GITHUB_LANE,"Current pointer for board-governance disclosure rule","Exact current body not represented as runner-verified"
US-SEC-33-9089,US,SEC Proxy Disclosure Enhancements — Release 33-9089,STATUTE_OR_REGULATION,https://www.sec.gov/rules/final/2009/33-9089fr.pdf,URL_DIRECT_ONLY,"Official SEC/Federal Register PDF independently verified; GitHub runner SEC endpoint HTTP 403",FIXED_2009_ADOPTING_RELEASE,"Establishes adoption and rationale of Item 407(h) board risk-oversight disclosure","Historic adopting release; not substitute for future/current codification recheck"
US-SEC-AI-WASHING-2024,US,SEC Chair statement on AI washing,OFFICIAL_GUIDANCE,https://www.sec.gov/newsroom/speeches-statements/sec-chair-gary-gensler-ai-washing,URL_DIRECT_ONLY,"Official public source separately verified; GitHub runner HTTP 403",DATED_2024_NONBINDING_STATEMENT,"Enforcement/disclosure signal concerning unsupported or materially misleading AI claims","Not regulation; no standalone AI private-liability rule"
