trigger_id,materiality_trigger,admission_rule,default_registry_effect,substantive_law_effect,notes
R002-MAT-01,Separate legislative competence,"Add when official constitutional/statutory source shows legally relevant subnational competence in an AI-LAWS domain",CREATE_OR_UPGRADE_SUBNATIONAL_ROW,NONE_AUTOMATIC,"Competence must be source-backed; scope may be domain-specific"
R002-MAT-02,Separate legal or court system,"Add when the jurisdiction has a materially separate court/legal system relevant to rights liability procedure or remedies",CREATE_OR_UPGRADE_SUBNATIONAL_ROW,NONE_AUTOMATIC,"Separate courts do not prove separate AI-specific law"
R002-MAT-03,Materially divergent enacted rule,"Add when enacted AI/data/privacy/biometric/consumer/product/employment/cyber/public-sector rules materially diverge from the parent baseline",CREATE_OR_UPGRADE_SUBNATIONAL_ROW,NONE_AUTOMATIC,"Enacted/current/applicable dates remain separate"
R002-MAT-04,Separate regulator or enforcement authority,"Add when a subnational authority has legally material independent regulatory or enforcement powers",CREATE_OR_UPGRADE_SUBNATIONAL_ROW,NONE_AUTOMATIC,"Regulator existence != violation or enforcement action"
R002-MAT-05,Cross-border forum or enforcement relevance,"Add when forum applicable-law recognition enforcement service or judgment-execution analysis requires separate treatment",CREATE_OR_UPGRADE_SUBNATIONAL_ROW,NONE_AUTOMATIC,"Forum relevance != forum available"
R002-MAT-06,Special territory or free-zone regime,"Add when a territory free zone autonomous zone or comparable regime applies materially different law",CREATE_OR_UPGRADE_SPECIAL_JURISDICTION_ROW,NONE_AUTOMATIC,"Special regime must be verified from primary/official source"
R002-MAT-07,Treaty or constitutional status interface,"Add when territorial or constitutional status changes treaty application source hierarchy or domestic implementation analysis",CREATE_OR_UPGRADE_SUBNATIONAL_ROW,NONE_AUTOMATIC,"Status labels alone are insufficient"
R002-MAT-08,Existing controlled research dependency,"Preserve/add when an AI-LAWS work item already depends on the subnational jurisdiction",PRESERVE_EXISTING_CONTROLLED_ID_AND_STATE,NONE_AUTOMATIC,"Enumeration refresh must not downgrade prior verified research state"
R002-US-BASE,U.S. Census state/statistical-equivalent baseline,"Enumerate all 57 live Census rows under US-XX IDs while preserving R007 states/DC research state",57_ROWS_ENUMERATED,NONE_AUTOMATIC,"Six non-state rows are AS GU MP PR UM VI; legal status is not treated as equivalent"
R002-GLOBAL-BASE,UN M49 country/area baseline,"Enumerate all live M49 country/area rows carrying ISO alpha-2 codes",247_ROWS_ENUMERATED,NONE_AUTOMATIC,"M49 country/area terminology does not decide sovereignty recognition treaty status or competence"
