source_id,source_class,authority_or_publisher,document_or_page,source_url_or_repository_snapshot,probe_or_snapshot_state,currentness_or_status_state,r013_use,limitations
R013-S01,PRIMARY_LAW,European Union,Current consolidated AI Act,86_NOTEBOOKLM/downloads/Current consolidated AI Act.pdf,"Repository snapshot SHA256 1ccd38d1c78482cf2053b70110115adcc5080700acc8bd7bead8cb3579143ccf; text extracted in GitHub runner",CURRENT_CONTROLLED_SNAPSHOT,"Notified-body liability-insurance requirement",Scope limited to notified bodies/conformity assessment; no general provider/deployer mandate inferred
R013-S02,PRIMARY_LAW_DIRECTIVE,European Union,Directive (EU) 2024/2853 Product Liability Directive,86_NOTEBOOKLM/downloads/Directive (EU) 2024 2853 — Product Liability Directive .pdf,"Repository snapshot SHA256 86982bf66ec10cce529fa5030096422a35cb9c88beb855c3129389dcb4562057; text extracted in GitHub runner",TRANSPOSITION_DEADLINE_2026-12-09,"Article 8(5) compensation-scheme option; Article 20 insurance-availability evaluation; recital insurance-scheme context",Member-State transposition and actual national schemes not mapped
R013-S03,PRIMARY_LAW,European Union,GDPR,86_NOTEBOOKLM/downloads/GDPR.pdf,"Repository snapshot SHA256 bd84e63f5b622b739a83389afc3b30d240f792bb88d8eb03a816c9a82b0c2499; targeted financial-term extraction",CURRENT_CONTROLLED_SNAPSHOT,"Bounded targeted-search comparator",No AI financial-assurance duty established by targeted search; not a universal negative finding
R013-S04,OFFICIAL_LEGISLATIVE_PROCEDURE,European Parliament Legislative Observatory,Procedure 2022/0303(COD) AI Liability Directive,https://oeil.secure.europarl.europa.eu/oeil/en/procedure-file?reference=2022/0303(COD),HTTP_200_2026-09-14,LAPSED_OR_WITHDRAWN_2025-10-06,"Current procedure-status control",OEIL record establishes withdrawal status; proposal text itself is not current law
R013-S05,OFFICIAL_PARLIAMENT_SOURCE,European Parliament,TA-9-2020-0276 resolution variants,https://www.europarl.europa.eu/doceo/document/TA-9-2020-0276_EN.html,"HTML PDF XML probes each HTTP_202_EMPTY_BODY; EUR-Lex CELEX probe also HTTP_202_EMPTY_BODY",ACCESS_BLOCKED_IN_GITHUB_RUNNER,"Proposal-source access record only",Exact substantive insurance proposal text not admitted in R013
R013-S06,OFFICIAL_PROGRAMME_SOURCE,European Commission,Commission Work Programme 2025,https://commission.europa.eu/strategy-and-policy/strategy-documents/commission-work-programme/commission-work-programme-2025_en,HTTP_200_2026-09-14,LIVE_OFFICIAL_PAGE,"Supporting currentness check",Simple targeted extraction did not independently establish financial-assurance rule
R013-S07,OFFICIAL_PROGRAMME_SOURCE,European Commission,Commission Work Programme 2026,https://commission.europa.eu/strategy-and-policy/strategy-documents/commission-work-programme/commission-work-programme-2026_en,HTTP_200_2026-09-14,LIVE_OFFICIAL_PAGE,"Supporting currentness check",Simple targeted extraction did not independently establish financial-assurance rule
R013-S08,COMMERCIAL_MARKET_SOURCE,Armilla,Armilla homepage,https://www.armilla.ai/,HTTP_200_2026-09-14,CURRENT_LIVE_COMMERCIAL_PAGE,"Commercial AI-insurance identity",Commercial source is not legal authority; terms not acquired
R013-S09,COMMERCIAL_MARKET_SOURCE,Armilla,AI Insurance page,https://www.armilla.ai/ai-insurance,HTTP_200_2026-09-14,CURRENT_LIVE_COMMERCIAL_PAGE,"Commercial AI-insurance identity; page title self-describes Lloyd’s Coverholder",Lloyd's status not independently verified; wording/limits/exclusions unknown
R013-S10,COMMERCIAL_MARKET_SOURCE,Armilla,Broker AI Insurance & Warranty page,https://www.armilla.ai/become-an-armilla-broker-ai-insurance-warranty,HTTP_200_2026-09-14,CURRENT_LIVE_COMMERCIAL_PAGE,"Commercial broker/warranty identity",No licensing coverage or claims-performance conclusion
R013-S11,COMMERCIAL_SOURCE_CANDIDATE,Munich Re,Guessed artificial-intelligence risk page,https://www.munichre.com/en/risks/artificial-intelligence.html,HTTP_404_2026-09-14,UNRESOLVED_CANDIDATE_URL,"Routing failure record",404 does not establish market-product absence
R013-S12,COMMERCIAL_SOURCE_CANDIDATE,Munich Re,Guessed AI performance-insurance page,https://www.munichre.com/en/solutions/for-industry-clients/ai-performance-insurance.html,HTTP_404_2026-09-14,UNRESOLVED_CANDIDATE_URL,"Routing failure record",404 does not establish market-product absence
R013-S13,SUPPORTING_RESEARCH,AI-LAWS R001,Grok frontier-AI law import/challenge,95_RESEARCH/GROK/AI-LAWS-R001_GROK_FRONTIER_AI_LAW_IMPORT_AND_CHALLENGE_2026-09-13.md,REPOSITORY_SUPPORTING_RESEARCH,NONCANONICAL_SUPPORTING,"Proposal-space routing only",Cannot substitute for primary law or inaccessible Parliament primary text
