source_id,check,repository_sha256,official_sha256,exact_byte_match,notebook_effect,final_state,notes
TR-001,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_INTERNAL_DATE_STATE_CHECKED; OFFICIAL_LIVE_CURRENTNESS_RECHECK_BLOCKED
TR-002,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_INCLUDES_7499_EFFECTIVE_2024-06-01; OFFICIAL_LIVE_CURRENTNESS_RECHECK_BLOCKED
TR-003,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_INCLUDES_7589_EFFECTIVE_2026-07-31; OFFICIAL_LIVE_CURRENTNESS_RECHECK_BLOCKED
TR-004,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_INCLUDES_7571_EFFECTIVE_2025-12-25; OFFICIAL_LIVE_CURRENTNESS_RECHECK_BLOCKED
TR-005,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_INCLUDES_7593_EFFECTIVE_2026-08-18; OFFICIAL_LIVE_CURRENTNESS_RECHECK_BLOCKED
TR-006,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_INCLUDES_7587_EFFECTIVE_2026-07-01; OFFICIAL_LIVE_CURRENTNESS_RECHECK_BLOCKED
TR-007,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_INCLUDES_7590_EFFECTIVE_2026-07-31; FUTURE_EFFECTIVE_7578_2026-11-01_PRESENT; OFFICIAL_LIVE_CURRENTNESS_RECHECK_BLOCKED
TR-008,EXISTING_REPOSITORY_FILE_NO_REDOWNLOAD,,,NOT_RECHECKED_R035,READY_WITH_CURRENTNESS_WARNING,ALREADY_PRESENT_NO_REDOWNLOAD,REPOSITORY_SNAPSHOT_VERIFIED_THROUGH_7590_EFFECTIVE_2026-07-31; OFFICIAL_LIVE_EXACT_BYTE_RECHECK_BLOCKED
INC-001,OFFICIAL_CDN_EXACT_BYTE_COMPARE,dd635cf6e5f39f0e1f646f08c36549090d77156ed89cbd3d733ed496648cae9c,dd635cf6e5f39f0e1f646f08c36549090d77156ed89cbd3d733ed496648cae9c,YES,READY_PDF,VERIFIED_OFFICIAL_EXACT_BYTE_MATCH,Official and repository bytes identical; 521159 bytes.
CL-002,OFFICIAL_FULLTEXT_GATE,,,NOT_APPLICABLE,NB06_CORE_PROCEED_CASE_LAYER_HOLD,HOLD_OFFICIAL_FULLTEXT,Official full judgment binary not admitted; no secondary substitute promoted.
INT-004,PRIMARY_ROUTE,,,NOT_APPLICABLE,READY_URL,URL_PRIMARY_LEGACY_SUPERSEDED,Certified-copy URL primary; legacy 43GC local PDF excluded from current-primary ingestion.
TR-009,OPTIONAL_POLICY_SOURCE,,,NOT_APPLICABLE,READY_URL_OPTIONAL,OPTIONAL_NO_BLOCK,Nonbinding policy source; exact PDF body remains optional.
