entity,consent_state,cets225_in_force_for_entity,article3_private_actor_route,territorial_declaration,domestic_implementation_state,independent_law_note,claim_state
Albania,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Andorra,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Armenia,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Bosnia and Herzegovina,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Georgia,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Iceland,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Liechtenstein,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Montenegro,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
North Macedonia,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,NO_CURRENT_DECLARATION_DISPLAYED,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
Norway,SIGNATURE_ONLY,NO_TREATY_WIDE_ENTRY_INTO_FORCE,APPLY_CHAPTERS_II_VI_TO_PRIVATE_ACTORS,NO_CURRENT_DECLARATION_DISPLAYED,NOT_VERIFIED,NOT_RESEARCHED_IN_R004,VERIFIED_PARTICIPATION_STATE_DOMESTIC_EFFECT_OPEN
