RUN_ID,SOURCE_ID,QUESTION_OR_DUTY,EVIDENCE_TYPE,EVIDENCE_HOLDER,SOURCE_REQUIRED_OR_RESEARCH_USEFUL,INTEGRITY_REQUIREMENT,SOURCE_LOCATOR,LIMITATIONS
RUN-20260914-001,EU-001,Demonstrate high-risk AI system compliance with Section 2 requirements,Technical Documentation (Annex IV),Provider / Authorised Representative,SOURCE_REQUIRED,Must be kept up to date and maintained for 10 years after market placement,"Article 11, Article 18",Must demonstrate compliance in clear and comprehensive form
RUN-20260914-001,EU-001,Attest legal conformity of high-risk AI system,EU Declaration of Conformity (Annex V),Provider,SOURCE_REQUIRED,Signed physical or machine-readable electronic document kept for 10 years,Article 47,Single declaration if subject to multiple Union acts
RUN-20260914-001,EU-001,Traceability and post-market monitoring of operation,Automatically Generated Logs,Provider / Deployer,SOURCE_REQUIRED,Kept for at least 6 months under controller control in secure environment,"Article 12, Article 19, Article 26(6)",Subject to Union/national data protection laws
RUN-20260914-001,EU-001,Assess impact on affected groups and fundamental rights,Fundamental Rights Impact Assessment (FRIA) Report,Public / Public Service Deployer,SOURCE_REQUIRED,Completed template submitted to Market Surveillance Authority prior to first use,Article 27,Exempt for critical infrastructure (Annex III point 2)
RUN-20260914-001,EU-001,Demonstrate organizational compliance and quality control,Quality Management System (QMS) Documentation,Provider,SOURCE_REQUIRED,"Systematic written policies, procedures and instructions",Article 17,Proportionate to provider size
RUN-20260914-001,EU-001,"Investigate deaths, fundamental rights violations, or major disruptions",Serious Incident Report,Provider / Deployer,SOURCE_REQUIRED,Reported immediately (within 2-15 days depending on severity) to Market Surveillance Authority,Article 73,Must establish causal link or reasonable likelihood
RUN-20260914-001,EU-001,Demonstrate copyright compliance and training data transparency for GPAI,GPAI Copyright Compliance Policy & Public Training Summary,GPAI Model Provider,SOURCE_REQUIRED,Publicly available summary according to AI Office template,"Article 53(1)(c), (d)",Trade secrets protected under Directive 2016/943
RUN-20260914-001,EU-001,Verify GPAI systemic risk mitigation and model capabilities,Red-Teaming & Adversarial Test Reports,GPAI Systemic Risk Provider,SOURCE_REQUIRED,Documented model evaluation protocols and tools provided to AI Office,Article 55(1)(a),Must reflect state of the art
RUN-20260914-001,EU-001,Verify data governance and bias detection efficacy,Data Provenance Logs and Annotation Specifications,Provider,RESEARCH_USEFUL,"Auditable records of data collection, cleaning, labelling and bias checks","Article 10(2), Article 74(12)",Market surveillance authorities granted full access via API
RUN-20260914-001,EU-001,Verify deep algorithmic logic in cases of persistent non-compliance,Model Source Code and Parameters,Provider,RESEARCH_USEFUL,Access granted to Market Surveillance Authority when other audit means exhausted,Article 74(13),Confidentiality protected under Article 78
