source_id,jurisdiction,institution,document_type,document_id,original_filename,canonical_readable_filename,pre_rename_sha256,post_rename_sha256,content_changed,verification_state,notebook_packs,rename_state,notes
INT-006,UN,United Nations,UN-RESOLUTION,A/RES/78/265,"A RES 78 265 — Safe, secure and trustworthy AI systems for sustainable development.pdf","INT-006 [UN] [United Nations] [UN-RESOLUTION] [A-RES-78-265] — A RES 78 265 — Safe, secure and trustworthy AI systems for sustainable development.pdf",83887bee43ad1d5065de9f48c8ad5b7e81807944a3d2ec89023e3da3f61159d9,83887bee43ad1d5065de9f48c8ad5b7e81807944a3d2ec89023e3da3f61159d9,NO,CONTENT_IDENTITY_VERIFIED,NB01,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
US-002,US,White House,OFFICIAL-GUIDANCE,2025 AI Action Plan,America's AI Action Plan.pdf,US-002 [US] [White House] [OFFICIAL-GUIDANCE] [2025-07] — America's AI Action Plan.pdf,91d56ab3ddefe43f395bde31e1c3923fb37f47091275aaf2a0d7da500ff547f4,91d56ab3ddefe43f395bde31e1c3923fb37f47091275aaf2a0d7da500ff547f4,NO,CONTENT_IDENTITY_VERIFIED,NB03,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INC-003,GLOBAL,Anthropic,VENDOR-THREAT-INTELLIGENCE,Threat Intelligence Report September 2026,Anthropic  Threat Intelligence Report September 2026.pdf,INC-003 [GLOBAL] [Anthropic] [VENDOR-THREAT-INTELLIGENCE] [2026-09-10] — Anthropic Threat Intelligence Report September 2026.pdf,cdea01e84f61de63ad80eabaa949047290921eaa2bec738d401b06eef6adfb1c,cdea01e84f61de63ad80eabaa949047290921eaa2bec738d401b06eef6adfb1c,NO,CONTENT_IDENTITY_VERIFIED,NB08,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INT-002,COE,Council of Europe,OFFICIAL-GUIDANCE,CETS 225 Explanatory Report,CETS No.225 Explanatory Report.pdf,INT-002 [COE] [Council of Europe] [OFFICIAL-GUIDANCE] [CETS-225-EXPLANATORY] — CETS No.225 Explanatory Report.pdf,6494c90612172f6b6c84620ebdd7256606f58c8ab3ec4b9d29890f6305814169,6494c90612172f6b6c84620ebdd7256606f58c8ab3ec4b9d29890f6305814169,NO,CONTENT_IDENTITY_VERIFIED,NB01,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INT-001,COE,Council of Europe Treaty Office,TREATY,CETS No.225,CETS No.225 treaty status page .pdf,INT-001 [COE] [Council of Europe Treaty Office] [TREATY] [CETS-225-TREATY-TEXT-2024-09-05] — CETS No.225 treaty status page.pdf,1ac6c8a85f55446cdb53697b57c6be3ce8757068043992955eda571e7fe52f23,1ac6c8a85f55446cdb53697b57c6be3ce8757068043992955eda571e7fe52f23,NO,CONTENT_IDENTITY_VERIFIED,NB01;NB02;NB09;NB06,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
EU-004,EU,EUR-Lex,CONSTITUTION,2016/C 202/02,Charter of Fundamental Rights.pdf,EU-004 [EU] [EUR-Lex] [CONSTITUTION] [2016-C-202-02] — Charter of Fundamental Rights.pdf,cc2b23fb824c045a1665ac54483cf8b8a583cb1b2a79238809757c48a59cfffb,cc2b23fb824c045a1665ac54483cf8b8a583cb1b2a79238809757c48a59cfffb,NO,CONTENT_IDENTITY_VERIFIED,NB02;NB06,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
EU-001,EU,EUR-Lex,REGULATION,Regulation (EU) 2024/1689 consolidated,Current consolidated AI Act.pdf,EU-001 [EU] [EUR-Lex] [REGULATION] [SNAPSHOT-2026-07-27] — Current consolidated AI Act.pdf,1ccd38d1c78482cf2053b70110115adcc5080700acc8bd7bead8cb3579143ccf,1ccd38d1c78482cf2053b70110115adcc5080700acc8bd7bead8cb3579143ccf,NO,CONTENT_IDENTITY_VERIFIED,NB02;NB07;NB09;NB06,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
EU-010,EU,EUR-Lex,REGULATION,Regulation (EU) 2024/2847,Cyber Resilience Act.pdf,EU-010 [EU] [EUR-Lex] [REGULATION] [2024-2847] — Cyber Resilience Act.pdf,e3ecaabddf6e321fa04097d15dfcccc7309d0fe5896240ab7625a27d74ab1b0a,e3ecaabddf6e321fa04097d15dfcccc7309d0fe5896240ab7625a27d74ab1b0a,NO,CONTENT_IDENTITY_VERIFIED,NB02,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
INC-004,US_GLOBAL,Dario Amodei,POLICY-ESSAY,We Must Pace the Frontier 2026-09-12,Dario Amodei — We Must Pace the Frontier.pdf,INC-004 [US_GLOBAL] [Dario Amodei] [POLICY-ESSAY] [2026-09-12-SUPPORTING] — Dario Amodei — We Must Pace the Frontier.pdf,d9413acf904198477bab3b6511a5549e3cece2c7c8c8873e4688207d187cd7fb,d9413acf904198477bab3b6511a5549e3cece2c7c8c8873e4688207d187cd7fb,NO,CONTENT_IDENTITY_PARTIAL,NB08,RENAMED_VERIFIED,PARTIAL
EU-007,EU,EUR-Lex,REGULATION,Regulation (EU) 2023/2854,Data Act.pdf,EU-007 [EU] [EUR-Lex] [REGULATION] [2023-2854] — Data Act.pdf,0d100d513136adfaa5655d77784d3af00f477b8588471cbb51dea7aff8687838,0d100d513136adfaa5655d77784d3af00f477b8588471cbb51dea7aff8687838,NO,CONTENT_IDENTITY_VERIFIED,NB02,RENAMED_VERIFIED,VERIFIED-SNAPSHOT
