source_key,jurisdiction,authority_class,binding_state,currentness_state,github_runner_state,independent_official_recheck,r016_use,critical_limit
EU-COMP-001,EU,TREATY_PRIMARY,BINDING_IN_FORCE,CURRENT_OFFICIAL_EURLEX_ARTICLE,HTTP_202_EMPTY_BODY,OFFICIAL_EURLEX_PAGE_RECHECKED_2026-09-14,TFEU_101_COORDINATION_BASELINE,"runner access failure != source absence; agreement/concerted-practice element preserved"
EU-COMP-002,EU,TREATY_PRIMARY,BINDING_IN_FORCE,CURRENT_OFFICIAL_EURLEX_ARTICLE,HTTP_202_EMPTY_BODY,OFFICIAL_EURLEX_PAGE_RECHECKED_2026-09-14,TFEU_102_DOMINANCE_ABUSE_BASELINE,"dominance and abuse require separate proof"
EU-COMP-003,EU,STATUTE_OR_REGULATION,BINDING_IN_FORCE,CURRENT_OFFICIAL_EURLEX_REGULATION,HTTP_202_EMPTY_BODY,OFFICIAL_EURLEX_PAGE_RECHECKED_2026-09-14,EU_MERGER_CONTROL_BASELINE,"partnership != concentration; control/jurisdiction/effects fact-specific"
EU-COMP-004,EU,STATUTE_OR_REGULATION,BINDING_IN_FORCE,CURRENT_OFFICIAL_EURLEX_REGULATION,HTTP_202_EMPTY_BODY,OFFICIAL_EURLEX_PAGE_RECHECKED_2026-09-14,DMA_CONTESTABILITY_LOCK_IN_LAYER,"scope limited to designated gatekeepers and covered services"
EU-COMP-005,EU,OFFICIAL_GUIDANCE,NONBINDING_COMMISSION_GUIDANCE,CURRENT_2023_HORIZONTAL_GUIDELINES,HTTP_202_EMPTY_BODY,OFFICIAL_EURLEX_DOCUMENT_RECHECKED_2026-09-14,STANDARDISATION_INFORMATION_SHARING_ANALYTICAL_FRAME,"guidance != statute or safe harbor"
EU-COMP-006,EU,OFFICIAL_STAFF_ANALYSIS,NONBINDING_STAFF_ANALYSIS,OFFICIAL_COMMISSION_PDF_RECHECKED,HTTP_200_PDF_SHA53325CEF_13P_MARKERS_VERIFIED,SAME_OFFICIAL_SOURCE,GENAI_INPUT_PARTNERSHIP_MARKET_STRUCTURE_RISK_SCREEN,"policy brief != violation finding"
INT-COMP-001,EU_GB_US,OFFICIAL_JOINT_STATEMENT,NONBINDING_POLICY_STATEMENT,OFFICIAL_JOINT_PDF_RECHECKED,HTTP_200_PDF_SHAAB459D8C_3P_MARKERS_VERIFIED,SAME_OFFICIAL_SOURCE,COMMON_AI_COMPETITION_PRINCIPLES,"sovereign decision-making retained; no multinational statute created"
US-COMP-001,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE,HTTP_200_HTML_MARKERS_VERIFIED,SAME_OFFICIAL_SOURCE,SHERMAN_ACT_SECTION1_BASELINE,"public alignment != agreement proven"
US-COMP-002,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE,HTTP_200_HTML_MARKERS_VERIFIED,SAME_OFFICIAL_SOURCE,SHERMAN_ACT_SECTION2_BASELINE,"concentration != monopolization"
US-COMP-003,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE,HTTP_200_HTML_MARKERS_VERIFIED,SAME_OFFICIAL_SOURCE,CLAYTON_ACT_SECTION7_BASELINE,"transaction/acquisition coverage and effect fact-specific"
