question_id,domain,question,required_source_behavior,primary_destination
GX-001,Authority,"Across all selected sources, which are binding law, treaty obligations in force, binding decisions, guidance, soft law, standards, policy proposals, company statements or independent reports?","Return source IDs and authority class; do not average categories","AI-LAWS"
GX-002,Currentness,"Which material conclusions depend on current consolidated text, commencement, transposition, treaty status or later amendments?","List each source and exact recheck need","AI-LAWS"
GX-003,Actor,"Which actor categories recur across jurisdictions: developer/provider/deployer/operator/controller/processor/platform/employer/public authority/procurer?","Map only source-defined or clearly supported roles","AI-LAWS;Engineering OS"
GX-004,Human dignity,"Which binding or nonbinding sources explicitly address dignity, personhood or human-centered treatment?","Separate explicit right/principle from analytical inference","Ethical-AI;AI-LAWS"
GX-005,Autonomy,"Which sources address autonomy, free choice, manipulation, coercion, persuasive design or vulnerability exploitation?","Give locator and binding state","Ethical-AI;AI-LAWS"
GX-006,Privacy,"Which sources address biometric, behavioral, inferred, psychological or neural data?","Separate explicit category from analogy","AI-LAWS;Ethical-AI"
GX-007,Consent,"Where is consent required, and what conditions make it valid/revocable?","Do not equate disclosure with consent or authorization","AI-LAWS;Ethical-AI"
GX-008,Automated decisions,"Which sources create safeguards for high-impact or automated decisions?","Map human review, explanation, contestability, opt-out and remedy separately","AI-LAWS;Ethical-AI"
GX-009,Agent authority,"Which sources address autonomous action, delegated authority, human oversight or permission boundaries?","If no explicit rule exists, mark legal gap rather than invent duty","OWASP;Engineering OS;AI-LAWS"
GX-010,Cybersecurity,"Which binding sources impose cybersecurity/risk/incident/reporting duties relevant to AI systems?","Separate legal duty from NIST/standard good practice","AI-LAWS;OWASP"
GX-011,Logging,"Which sources require or imply records, logs, documentation, traceability or technical files?","Identify exact actor/condition and locator","AI-LAWS;Engineering OS"
GX-012,Evidence,"What evidence would be needed to prove or disprove compliance, breach, causation and damage?","Distinguish source-required records from investigator-desired evidence","AI-LAWS"
GX-013,Foreseeability,"Which sources/incidents establish public knowledge of risks, and which evidence would still be needed for actor-specific knowledge?","PUBLIC_KNOWLEDGE != ACTOR_SPECIFIC_KNOWLEDGE","AI-LAWS"
GX-014,Incident,"What facts from NB08 are independently corroborated, company-attributed, disputed or unknown?","Separate fact, attribution, inference and legal conclusion","AI-LAWS;OWASP"
GX-015,Causation,"Which legal sources specify causation, presumptions, burden or evidentiary rules relevant to AI harm?","No liability conclusion from incident alone","AI-LAWS"
GX-016,Damage,"What categories of compensable or cognizable damage/harm appear in the legal sources?","Jurisdiction-specific only","AI-LAWS"
GX-017,Remedy,"What appeal, correction, deletion, injunction, compensation, regulatory complaint or other remedy exists?","Map source, forum, actor, condition","AI-LAWS;Ethical-AI"
GX-018,Defence,"What exceptions, immunities, defences, safe harbours or national-security/public-interest limitations exist?","Exact source locator required","AI-LAWS"
GX-019,Children,"Which sources provide heightened safeguards for children or vulnerable persons?","Do not treat vulnerability as a person score","Ethical-AI;AI-LAWS"
GX-020,Discrimination,"Which sources address discriminatory profiling, equal treatment or disparate impact?","Separate binding prohibition from ethics/framework guidance","AI-LAWS;Ethical-AI"
GX-021,Competition,"Which sources address market concentration, lock-in, foundation-model competition or regulatory coordination?","Market review != binding duty unless source says so","AI-LAWS"
GX-022,State systems,"Which sources apply differently to government, defence, intelligence or national-security systems?","Map exemptions and oversight separately","AI-LAWS"
GX-023,Cross-border,"What territorial, establishment, targeting, data-transfer or conflict-of-laws issues recur?","Do not assume one jurisdiction's rule applies globally","AI-LAWS"
GX-024,Financial responsibility,"Which sources establish compensation funds, insurance, financial assurance or liability-capacity duties?","Separate mandatory law from proposal/market practice","AI-LAWS"
GX-025,Standards,"Which legal sources reference standards/frameworks, and what can standards support without becoming law?","Standard conformity != automatic legal compliance","AI-LAWS;OWASP;Engineering OS"
GX-026,Threat coverage,"For THR-001..THR-024, which have direct binding-law anchors, soft-law anchors, technical-framework anchors or no loaded-source support?","Produce a four-state coverage matrix","Engineering OS;AI-LAWS"
GX-027,Control candidates,"For source-supported duties, what technical/organizational controls could operationalize them?","Mark CONTROL_CANDIDATE only","OWASP;Engineering OS"
GX-028,Test candidates,"For each control candidate, what objective negative/positive test and evidence artifact would be appropriate?","Mark TEST_CANDIDATE; NOT_RUN != PASS","Engineering OS;OWASP"
GX-029,Legal gaps,"Where does the corpus show a material harm/threat without a clear binding duty/remedy?","Distinguish true gap from incomplete research/currentness","AI-LAWS"
GX-030,Research backlog,"Which conclusions cannot be answered from the loaded sources, and what exact primary/official source should be acquired next?","Return UNKNOWN plus proposed source, jurisdiction and reason","AI-LAWS;Engineering OS"
