issue_id,layer,jurisdiction,actor_or_structure,legal_or_policy_basis,verified_rule_or_signal,ai_relevance,required_facts,not_inferred,authority_state
R016-M01,COMPETITOR_COORDINATION,EU,undertakings_or_associations,TFEU Article 101,"Agreements; association decisions; concerted practices with restrictive object/effect can be prohibited subject to applicable treaty analysis","AI safety agreements; common commitments; information sharing","agreement/decision/concerted-practice evidence; restraint; trade effect; object/effect; possible Article 101(3) conditions","parallel public statements equal agreement",BINDING_PRIMARY
R016-M02,HORIZONTAL_GUIDANCE,EU,actual_or_potential_competitors,2023 Horizontal Cooperation Guidelines,"Information exchange and standardisation require contextual Article 101 assessment; transparency/access/necessity can be material","AI safety standards; eval sharing; technical coordination","information category; necessity; access; participation; compulsory effect; foreclosure; efficiencies","guidance creates categorical safe harbor",OFFICIAL_GUIDANCE_NONBINDING
R016-M03,DOMINANCE,EU,dominant_undertaking,TFEU Article 102,"Abuse by a dominant undertaking is prohibited","compute/cloud/data access; tying; discriminatory access hypotheses","relevant market; dominance; conduct; abuse; effect; objective justification as applicable","large size or oligopoly equals abuse",BINDING_PRIMARY
R016-M04,MERGER_CONTROL,EU,undertakings_in_concentration,Regulation EC 139/2004,"Concentrations are assessed under control/jurisdiction and significant-impediment-to-effective-competition framework","AI investments; cloud/model partnerships; acquisitions","transaction structure; control; thresholds; market facts; effects","partnership equals concentration or illegality",BINDING_PRIMARY
R016-M05,DIGITAL_MARKETS,EU,designated_gatekeepers,Regulation EU 2022/1925,"DMA establishes contestability/fairness duties for covered gatekeepers/core platform services","lock-in; interoperability; data/access conditions where statutory scope met","designation; covered service; exact duty; conduct","DMA applies to every AI company",BINDING_PRIMARY
R016-M06,AI_MARKET_STUDY,EU,AI_market_participants,Commission GenAI competition policy brief,"Official staff analysis identifies inputs/partnerships and competition risks for monitoring","compute; data; talent; partnerships; entry barriers","market evidence and actor-specific conduct","policy concern equals violation",OFFICIAL_STAFF_ANALYSIS
R016-M07,JOINT_POLICY,EU_GB_US,competition_authorities,Joint generative-AI competition statement,"Authorities identify shared competition principles while retaining sovereign decision-making","fair dealing; interoperability; choice; concentrated inputs","applicable jurisdiction and law; concrete conduct","joint statement is multinational statute",OFFICIAL_JOINT_STATEMENT_NONBINDING
R016-M08,COMPETITOR_COORDINATION,US,persons_or_entities_in_agreement,15 USC 1,"Contract combination or conspiracy in restraint of trade is statutory focus","AI safety agreements and competitor information sharing","agreement evidence; restraint; applicable antitrust analysis; facts","public alignment or similar safety position proves conspiracy",BINDING_PRIMARY
R016-M09,MONOPOLIZATION,US,firm_or_conspirators,15 USC 2,"Monopolization attempt or conspiracy to monopolize are statutory categories","cloud/compute/model/input exclusion hypotheses","market; monopoly power or dangerous probability as applicable; conduct; intent/effects under law","market concentration alone equals monopolization",BINDING_PRIMARY
R016-M10,ACQUISITIONS,US,acquirer_and_target,15 USC 18,"Covered acquisitions may be unlawful where effect may substantially lessen competition or tend to create monopoly","minority AI investments; cloud/model partnerships; serial acquisitions","acquisition interest; market; transaction rights; competitive effects","every partnership is an acquisition or unlawful",BINDING_PRIMARY
R016-M11,UNFAIR_METHODS,US,market_actor,15 USC 45,"Unfair methods of competition are unlawful under FTC Act Section 5","AI market conduct theories","conduct; jurisdiction; legal theory; facts","generic market concern equals Section 5 violation",BINDING_PRIMARY
R016-M12,MERGER_GUIDANCE,US,merging_or_investing_firms,2023 Merger Guidelines,"Current nonbinding agency framework considers concentration; coordination; trends; vertical/platform/input effects; partial ownership","AI partnerships; minority interests; key inputs; innovation competition","transaction facts; rights; market evidence; law","guidelines create independent obligations",OFFICIAL_GUIDANCE_NONBINDING
R016-M13,TECHNICAL_INFO_SHARING_ANALOGY,US,competitors_sharing_cyber_threat_data,2014 Cybersecurity Information Sharing Statement,"Agencies maintain that properly designed sharing of technical cyber-threat information should not raise antitrust concerns","analogy for narrow technical AI safety data sharing","information type; design; necessity; separation from competitively sensitive business data","AI safety collaboration has safe harbor",OFFICIAL_GUIDANCE_ANALOGY_ONLY
R016-M14,COLLABORATION_GUIDANCE_STATUS,US,competitor_collaborators,2024 withdrawal record,"2000 competitor collaboration guidelines were withdrawn and should not be treated as current guidance","removes reliance on legacy collaboration safe-harbor framing","current statutes; case law; current guidance","withdrawn 2000 guidelines remain authoritative",OFFICIAL_POLICY_STATUS
R016-M15,COLLABORATION_GUIDANCE_PROCESS,US,competition_agencies,2026 request for comment and deadline extension,"Agencies are developing possible new business-collaboration guidance through public inquiry","future clarity for AI-enabled collaborations may emerge","final adopted guidance required before treating proposal/process as current guidance","request for comment equals final rule or guidance",OFFICIAL_POLICY_PROCESS
R016-M16,AI_PARTNERSHIP_STUDY,US,cloud_service_providers_and_AI_developers,FTC 6b staff report,"Staff study identifies areas to watch around inputs; switching/dependencies; sensitive information","AI/cloud partnerships and potential entry/coordination issues","contract terms; access; switching; information flows; actual competitive effects","staff report establishes violation",OFFICIAL_STAFF_REPORT
R016-M17,REGULATORY_CAPTURE,COMPARATIVE,regulated_firms_and_public_institutions,R016 evidentiary boundary,"Capture is not inferred from lobbying; participation; concentration or standard-setting presence alone","standards/policy influence by incumbent AI firms","actor-specific influence evidence; institutional decision process; distortion/conflict evidence","regulatory capture proven",RESEARCH_HYPOTHESIS_ONLY
