source_id,instrument,authority_class,interaction_with_ai_act,current_state_2026_09_14,r003_limit
EU-002,Regulation (EU) 2026/1744,STATUTE_OR_REGULATION,Direct amendment to AI Act including phased-application and high-risk architecture,IN_FORCE_AND_REFLECTED_IN_2026_07_27_CONSOLIDATION,R003 maps operative amendments but not every amendment in the omnibus package
EU-003,Directive (EU) 2024/2853 Product Liability Directive,STATUTE_OR_REGULATION,Separate product-liability architecture potentially relevant to defective AI-enabled products,TRANSPOSITION_DEPENDENT,Directive text verified does not establish Member-State transposition or liability in a concrete case
EU-004,Charter of Fundamental Rights of the European Union,CONSTITUTIONAL_TEXT,Article 1 fundamental-rights baseline and broader EU-law rights context,BINDING_WITHIN_SCOPE_OF_EU_LAW,Concrete Charter applicability requires scope analysis
EU-005,Regulation (EU) 2016/679 GDPR,STATUTE_OR_REGULATION,Article 2(7) preserves EU data-protection/privacy law; AI Act does not displace GDPR,APPLICABLE,AI Act compliance is not GDPR compliance and lawful-basis/data-rights questions remain separate
EU-006,Regulation (EU) 2022/2065 Digital Services Act,STATUTE_OR_REGULATION,Article 2(5) preserves Chapter II intermediary-service liability rules,APPLICABLE,No conflict/priority conclusion beyond the explicit non-displacement clause
EU-007,Regulation (EU) 2023/2854 Data Act,STATUTE_OR_REGULATION,Data access/use and connected-product context potentially overlaps AI systems and products,APPLICABLE_GENERAL_2025_09_12_ART3_1_DATE_2026_09_12_PASSED,R003 does not decide provision-specific overlap or priority
EU-008,Regulation (EU) 2022/868 Data Governance Act,STATUTE_OR_REGULATION,Data-governance/reuse/intermediation context,APPLICABLE,R003 records context only; no automatic AI Act duty inference
EU-009,Directive (EU) 2022/2555 NIS2,STATUTE_OR_REGULATION,Cybersecurity risk-management/incident context may overlap AI operators/entities,EU_DIRECTIVE_NATIONAL_TRANSPOSITION_REQUIRED,Member-State implementation must be checked separately
EU-010,Regulation (EU) 2024/2847 Cyber Resilience Act,STATUTE_OR_REGULATION,Product cybersecurity interaction for products with digital elements including AI-enabled products where in scope,CHAPTER_IV_APPLICABLE_2026_06_11_ARTICLE_14_APPLICABLE_2026_09_11_GENERAL_2027_12_11,R003 does not resolve product-scope or lex-specialis questions
INT-001,CETS No.225 Council of Europe Framework Convention,TREATY_OR_INTERNATIONAL_INSTRUMENT,Related European human-rights/democracy/rule-of-law treaty layer but not EU secondary law,PARTY_SPECIFIC_STATUS_REQUIRES_LIVE_TREATY_CHECK,Do not treat treaty status or domestic effect as resolved by R003
