layer_id,jurisdiction,system_or_issue,verified_legal_or_oversight_layer,accountability_dependency_or_gap_candidate,not_permitted_inference,current_state
R017-GAP-001,EU,AI system used exclusively for military defence or national-security purpose,AI Act Article 2 scope boundary,Identify alternative constitutional human-rights administrative procurement secrecy sector and other applicable law,AI Act exclusion means state AI is unregulated,VERIFIED_SCOPE_BOUNDARY_ALTERNATIVE_LAW_OPEN
R017-GAP-002,COE,CETS 225 national-security interest activity,CETS 225 Article 3 treaty-text boundary,Current treaty effect depends on entry into force and Party status plus domestic implementation,Treaty text currently binds every signatory,VERIFIED_TEXT_NOT_IN_FORCE_GATE_R004
R017-GAP-003,COE,ECHR national-security interference with private life,ECHR Articles 8 and 13 selected rights/remedy layer,Concrete legality necessity proportionality jurisdiction admissibility and remedy require fact/case-law analysis,National-security purpose automatically validates interference,VERIFIED_PRIMARY_TEXT_CASE_APPLICATION_OPEN
R017-GAP-004,US,Federal agency AI governance,OMB M-25-21 current exact official PDF,Agency-specific statutory mission classified-system and operational authorities remain to be mapped,OMB memorandum is generally applicable federal statute,VERIFIED_EXECUTIVE_OPERATIONAL_BASELINE
R017-GAP-005,US,National security system classification,44 U.S.C. §3552 definition,Determine whether a concrete information system satisfies the statutory definition and what downstream instrument incorporates it,Definition itself creates AI exemption or immunity,VERIFIED_DEFINITION_FACT_APPLICATION_OPEN
R017-GAP-006,US,Agency action and nonmoney judicial relief,5 U.S.C. §702,Reviewability cause of action finality standing statutory preclusion and national-security doctrines remain separate,§702 guarantees review or relief,VERIFIED_WAIVER_REVIEW_LAYER_DEPENDENCIES_OPEN
R017-GAP-007,US,Federal tort money-damages route,28 U.S.C. §§1346(b) and 2674,Employee scope applicable place law private-person analogue causation damages exhaustion and other FTCA requirements remain open,FTCA automatically makes United States liable for AI harm,VERIFIED_WAIVER_LIABILITY_LAYER_INCOMPLETE
R017-GAP-008,US,FTCA limitation/exception analysis,28 U.S.C. §2680,Due-care discretionary-function foreign-country and other exceptions require claim-specific analysis,Exception possibility means no duty or no wrongful conduct,VERIFIED_EXCEPTIONS_LAYER_FACT_APPLICATION_OPEN
R017-GAP-009,US,Intelligence-community internal/statutory oversight,50 U.S.C. §3033 Inspector General of Intelligence Community,Public disclosure judicial review private remedy congressional oversight and agency-specific channels remain separate,Inspector General mechanism equals private cause of action,VERIFIED_STATUTORY_OVERSIGHT_LAYER
R017-GAP-010,US,DoD autonomous weapon systems candidate policy,Official DoD Directive 3000.09 URL identified,GitHub runner returned HTTP 403 so current body and detailed requirements need source-specific recheck,403 proves directive absent or proves requirements from memory,ACCESS_BLOCKED_BODY_NOT_ADMITTED
R017-GAP-011,EU_US,Classified or nonpublic state AI facts,No classified facts acquired or inferred,Authorized evidence classification state-secrets privilege sealed records and public-source limitations require separate procedure,No public evidence proves no system no oversight illegality or legality,UNKNOWN_FACTS_PRESERVED
R017-GAP-012,EU_US,Overall state-AI accountability architecture,Multiple instrument-specific scope oversight review and remedy layers verified,No exhaustive Member-State agency defence intelligence case-law or classified-procedure map completed,One instrument controls all state AI or one gap proves accountability failure,BOUNDED_BASELINE_COMPLETE_SCOPE_LIMITS_OPEN
