right_or_interest,source_id,jurisdiction,authority_class,legal_status,subject_or_trigger,protection_or_process,scope_limit,unknown_or_open
HUMAN_DIGNITY,EU-004,EU,CONSTITUTIONAL_OR_TREATY_TEXT,BINDING_WITHIN_CHARTER_SCOPE,natural persons,Charter Article 1 dignity protection,Charter Article 51 field of application controls,case-specific application not attempted
PHYSICAL_AND_MENTAL_INTEGRITY,EU-004,EU,CONSTITUTIONAL_OR_TREATY_TEXT,BINDING_WITHIN_CHARTER_SCOPE,natural persons,Charter Article 3 physical and mental integrity,Charter Article 51 field of application controls,AI-specific application not attempted
PRIVATE_LIFE,EU-004,EU,CONSTITUTIONAL_OR_TREATY_TEXT,BINDING_WITHIN_CHARTER_SCOPE,natural persons,Charter Article 7 private/family life home communications,Charter Article 51 controls,AI-specific interference test not attempted
PERSONAL_DATA_PROTECTION,EU-004,EU,CONSTITUTIONAL_OR_TREATY_TEXT,BINDING_WITHIN_CHARTER_SCOPE,data concerning a person,Charter Article 8 fair specified-purpose processing plus access/rectification and independent control,Charter Article 51 controls,lawful-basis analysis not attempted
CONSENT_WITHDRAWAL,EU-005,EU,STATUTE_OR_REGULATION,BINDING,processing based on consent,GDPR Article 7(3) withdrawal at any time and as easy to withdraw as give,only where processing is consent-based; withdrawal not retroactive,other lawful bases not analysed
SPECIAL_CATEGORY_BIOMETRIC_DATA,EU-005,EU,STATUTE_OR_REGULATION,BINDING,biometric data used to uniquely identify plus other Article 9 categories,Article 9 default prohibition subject to enumerated exceptions,biometric processing outside unique-identification purpose requires separate analysis,Member-State additional conditions may apply
AUTOMATED_DECISION_SAFEGUARD,EU-005,EU,STATUTE_OR_REGULATION,BINDING,solely automated decision with legal or similarly significant effect,Article 22(1) right not to be subject plus exceptions and safeguards,not every AI-assisted decision; Article 22(2) exceptions apply,fact-specific trigger unresolved
HUMAN_INTERVENTION_AND_CONTEST,EU-005,EU,STATUTE_OR_REGULATION,BINDING_CONDITIONAL,Article 22(2)(a) or (c) exception route,Article 22(3) safeguards include human intervention viewpoint and contest,not a universal human-review right,exact system facts required
RECTIFICATION,EU-005,EU,STATUTE_OR_REGULATION,BINDING_CONDITIONAL,inaccurate/incomplete personal data,Article 16 rectification/completion,personal-data scope and purposes control,application to model inferences fact-specific
ERASURE,EU-005,EU,STATUTE_OR_REGULATION,BINDING_CONDITIONAL,Article 17 listed grounds,erasure right with enumerated exceptions,not absolute and not equivalent to universal reversibility,downstream model effects not analysed
RESTRICTION,EU-005,EU,STATUTE_OR_REGULATION,BINDING_CONDITIONAL,Article 18 listed grounds,restriction of processing,grounds and exceptions control,model-specific implementation not analysed
OBJECTION,EU-005,EU,STATUTE_OR_REGULATION,BINDING_CONDITIONAL,Article 21 processing bases/direct marketing,objection rights with basis-specific rules,not a blanket AI opt-out,overriding grounds may matter
MANIPULATION_AND_DECEPTION,EU-001,EU,STATUTE_OR_REGULATION,BINDING_DATE_SPECIFIC,AI practices meeting Article 5(1)(a) elements,prohibition on specified subliminal/manipulative/deceptive techniques,material distortion informed-decision impairment and significant-harm elements preserved,case classification not attempted
