jurisdiction,actor_class,source_basis,duty_or_liability_route,breach_or_defect_gate,causation_gate,damage_gate,remedy,defence,evidence,date_state,unknown_or_limit
EU,AI_ACT_PROVIDER,EU-001,"regulatory provider duties where exact AI Act scope/application applies","provision-specific noncompliance required; not civil breach automatically","not supplied by AI Act fine architecture","not supplied by AI Act fine architecture","regulatory enforcement/penalties; private civil route separate","scope exclusions/transitions and provision-specific exceptions","AI Act documentation/log/incident material may be relevant but civil evidentiary effect is separate","2026-07-27 controlled consolidation; phased application","civil defendant status under PLD/GDPR/national law requires separate role mapping"
EU,AI_ACT_DEPLOYER,EU-001,"regulatory deployer duties where exact AI Act scope/application applies","provision-specific noncompliance required; not civil breach automatically","UNKNOWN for private liability from selected AI Act source","UNKNOWN for private liability from selected AI Act source","regulatory remedies; private civil route separate","scope exclusions and provision-specific exceptions","facts/logs/use context required","date-specific phased application","may separately be GDPR controller/processor or national-law actor depending facts; not inferred"
EU,SOFTWARE_OR_PRODUCT_MANUFACTURER,EU-003,"product-liability route where software/product and manufacturer conditions are met under applicable national implementation","defectiveness under Article 7; software/update/control facts material","claimant baseline proof plus Article 10 rebuttable presumptions where conditions are met","Article 6 damage categories","Article 5 compensation route through applicable national implementation","Article 11 exemptions; Articles 13-15 allocation/limits","Article 9 disclosure plus Article 10 presumptions; national procedure applies","Directive text verified; transposition deadline 2026-12-09","Member-State implementation and concrete product/actor classification not mapped"
EU,COMPONENT_MANUFACTURER,EU-003,"Article 8 component route where defective component was integrated/interconnected within manufacturer control and causally made product defective","component defect plus Article 8 conditions","defect/product/damage causal links required subject to Article 10","Article 6 categories","Directive compensation route under applicable national implementation","Article 11 component-specific defence and other exemptions","Article 9-10","transposition dependent","whether an AI model/tool is a component is fact-specific"
EU,SUBSTANTIAL_MODIFIER,EU-003,"Article 8(2) treats qualifying substantial modifier as manufacturer","Article 4 substantial-modification definition plus defect","Article 10 framework","Article 6 categories","Directive compensation route under applicable national implementation","Article 11(1)(g) modification-related defence","Article 9-10","transposition dependent","whether fine-tuning/integration is a substantial modification requires facts and applicable product-safety law"
EU,IMPORTER_AUTH_REP_FULFILMENT_DISTRIBUTOR_PLATFORM,EU-003,"defined Article 8 supply-chain routes","role-specific statutory conditions","Article 10 where applicable","Article 6 categories","Directive compensation route under applicable national implementation","Article 11 and role-specific conditions","Article 9-10","transposition dependent","no automatic mapping from AI Act distribution role"
EU,GDPR_CONTROLLER,EU-005,"Article 82 compensation for damage resulting from GDPR infringement","processing infringement and controller involvement","damage must result from infringement","material or non-material GDPR damage","compensation under Article 82","Article 82(3) no-responsibility defence","processing records and case evidence required; forum rule linked to Article 79(2)","GDPR directly applicable; controlled current snapshot verified","AI-system role does not establish controller status automatically"
EU,GDPR_PROCESSOR,EU-005,"Article 82 route limited to processor-specific obligations or acting outside/contrary to lawful controller instructions","processor-specific infringement trigger","damage must result from qualifying infringement","material or non-material GDPR damage","compensation under Article 82","Article 82(3) no-responsibility defence","processing/instruction evidence required","GDPR directly applicable; controlled current snapshot verified","tool/model provider may or may not be processor"
EU,AGENT_OPERATOR_OR_TOOL_PROVIDER,EU-001;EU-003;EU-005,"no standalone universal liability role in selected texts; possible mapping only if legal facts establish provider/deployer/manufacturer/component/related-service/controller/processor role","UNKNOWN until role and regime established",UNKNOWN,UNKNOWN,UNKNOWN,"regime-specific","system identity; contracts; control; processing role; integration evidence required","source-specific","do not infer liability from technical label"
US,FEDERAL_MODEL_PROVIDER_OR_DEPLOYER,US-001..US-008,"controlled set contains executive/OMB/NIST governance sources but no generally applicable private AI tort rule verified in R012",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"state/federal private-law and case evidence required","2026-09-14 controlled source recheck","controlled-source gap is not a no-law finding"
US,FEDERAL_AGENCY_OR_VENDOR_CONTEXT,US-003;US-004,"OMB operational/procurement duties within memorandum scope","memo-specific compliance question; not general private tort breach","not established by memo alone","not established by memo alone","administrative/procurement consequences may exist; private remedy not inferred","scope/contract/statutory authorities control","agency records; procurement contract; facts required","official PDFs fresh accessible and exact-match state preserved","no general civil-liability conclusion"
US,NIST_FRAMEWORK_USER,US-007;US-008,"voluntary risk-management framework/profile","noncompliance is not legal breach automatically","not established","not established","none created by framework itself","not a statutory safe harbour automatically","contextual evidence only if applicable law gives relevance","official pages accessible 2026-09-14; RMF revision warning preserved","standard-of-care relevance requires jurisdiction-specific law/case facts"
US-UT,UTAH_CHAPTER72_ACTOR,US-009-S101,"current Section 101 identity/definitions anchor only","whole-chapter duty/breach analysis not performed",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"current whole-chapter text and case/enforcement sources required","Section 101 version effective 2026-05-06; future-change signal 2027-07-01","R007/R012 do not infer private liability from Section 101 alone"
