domain_id,domain_name,scope,example_ai_questions,primary_output
LAW-001,Constitutional and Human Rights,"constitutional rights; human dignity; due process; equality; expression; privacy; mental autonomy","Does AI use impair dignity, equality, privacy, due process or human decision rights?","rights analysis; constitutional issue map"
LAW-002,Data Protection and Privacy,"personal data; sensitive data; biometrics; profiling; inference; neurodata","What data or inference is processed; on what legal basis; with what rights and safeguards?","data-law duty map"
LAW-003,Civil/Tort Liability,"fault; duty of care; foreseeability; causation; damage; multiple actors","Who owed what duty; was harm foreseeable; how is causation allocated?","liability element matrix"
LAW-004,Contract and Digital Services,"terms; warranties; service levels; disclosure; contractual allocation","What did provider/user agree; can responsibility be allocated or limited?","contract-duty analysis"
LAW-005,Product and Safety Liability,"defect; safety expectation; product/service boundary; updates","Can model/software/AI-enabled product be defective or unsafe under applicable law?","product-liability analysis"
LAW-006,Consumer Protection,"unfair practices; misleading claims; disclosure; vulnerable consumers","Were capability/safety claims misleading; was consumer autonomy manipulated?","consumer-law analysis"
LAW-007,Criminal Law,"unauthorized access; fraud; threats; negligence offences; attribution","What conduct may satisfy offence elements; who has mens rea or responsibility?","criminal-law issue map"
LAW-008,Cybersecurity and Digital Resilience,"security duties; incident reporting; critical infrastructure; breach response","What security baseline, incident duty or resilience obligation applies?","cyber legal control map"
LAW-009,Administrative and Public Law,"public-sector automation; legality; reason-giving; review; state liability","Can a public authority automate this decision; what appeal/review is required?","public-law analysis"
LAW-010,Evidence and Procedure,"logs; preservation; discovery; burden of proof; admissibility; audit trails","Who controls evidence; what happens if logs are missing; what is admissible?","evidence/procedure plan"
LAW-011,Competition and Market Power,"antitrust; collusion; market concentration; interoperability; exclusion","Does safety coordination create competition issues; does platform power distort governance?","competition analysis"
LAW-012,Employment and Labour,"automated management; hiring; firing; monitoring; worker rights","What rights apply to AI hiring, monitoring or workplace decisions?","labour-law analysis"
LAW-013,Intellectual Property and Trade Secrets,"copyright; training data; outputs; patents; confidential information","What rights attach to training inputs, outputs, weights, code or secrets?","IP issue map"
LAW-014,Health and Professional Liability,"medical devices; clinical AI; professional standard of care; informed consent","How does AI affect clinician/provider duty and patient rights?","professional-liability analysis"
LAW-015,Children and Vulnerable Persons,"child rights; age assurance; manipulation; special protection","What heightened duties apply to children or vulnerable persons?","vulnerability safeguards map"
LAW-016,Financial Services,"credit; insurance; fraud; market conduct; algorithmic decisions","What regulated financial duties constrain AI scoring or automated action?","sector duty map"
LAW-017,Insurance and Financial Responsibility,"coverage; mandatory insurance; reserves; catastrophe finance; subrogation","Who can insure AI loss; what gaps or financial assurance mechanisms exist?","financial responsibility analysis"
LAW-018,Corporate Governance and Officer Duties,"board oversight; risk management; disclosure; internal controls","What must boards/officers know, monitor, disclose or control?","governance duty map"
LAW-019,International Law and Treaties,"treaty obligations; human rights; state responsibility; international cooperation","Which international instruments constrain AI development/use?","international-law analysis"
LAW-020,Conflict of Laws and Jurisdiction,"cross-border harm; forum; applicable law; enforcement","Which court/law applies when model, provider, user and victim are in different states?","jurisdiction/conflicts analysis"
LAW-021,National Security Defence and Intelligence,"classified systems; exemptions; oversight; state secrets; procurement","Which ordinary protections are displaced or retained in closed/state AI systems?","national-security gap analysis"
LAW-022,Platform and Intermediary Responsibility,"hosting; model APIs; app stores; routers; intermediaries","What duties attach to intermediaries that route, host or distribute AI capabilities?","intermediary duty map"
LAW-023,Discrimination and Equality,"direct/indirect discrimination; disparate impact; accessibility","Does AI create unlawful differential treatment or exclusion?","equality analysis"
LAW-024,Mental Autonomy Neurotechnology and Cognitive Liberty,"mental privacy; neural data; emotion/cognition inference; manipulation","What rules protect thought, cognition, neurodata and mental self-determination?","mental-autonomy analysis"
LAW-025,Media Elections and Information Integrity,"political advertising; deepfakes; impersonation; election integrity","What legal rules govern AI-mediated political influence and synthetic media?","information integrity analysis"
LAW-026,Robotics Autonomous Systems and Physical Safety,"robots; autonomous vehicles; drones; cyber-physical agents","Who bears responsibility for AI actions causing physical harm?","physical-system liability analysis"
LAW-027,Environmental and Energy Law,"compute/energy; environmental effects; infrastructure; reporting","What environmental duties apply to AI infrastructure and lifecycle impacts?","environmental duty map"
LAW-028,Remedies Compensation and Sanctions,"injunctions; damages; administrative fines; restitution; collective redress","What remedy exists, for whom, against whom, and under what proof standard?","remedy matrix"
LAW-029,Standards Certification and Audit Law,"conformity assessment; standards incorporation; accreditation; audit independence","When does compliance with a standard affect legal duty or defence?","assurance-law crosswalk"
LAW-030,Policy Design and Law Reform,"new duties; licensing; safety cases; catastrophic-risk regimes; compensation funds","What is current law versus proposed future institutional design?","policy proposal with non-law label"
