source_id,primary_pack,notebook_packs,notebook_source_label,preferred_ingest,repository_path,readiness,verification_state
INT-001,NB01,NB01;NB02;NB09;NB06,INT-001 | COE | TREATY | Council of Europe | Council of Europe Framework Convention on Artificial Intelligence and Human Rights Democracy and the Rule of Law | CETS-225-TREATY-TEXT-2024-09-05,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INT-001 [COE] [Council of Europe Treaty Office] [TREATY] [CETS-225-TREATY-TEXT-2024-09-05] — CETS No.225 treaty status page.pdf,READY_WITH_CURRENTNESS_WARNING,VERIFIED_OFFICIAL_CURRENT_TREATY_STATUS_R004
INT-002,NB01,NB01,INT-002 | COE | OFFICIAL-GUIDANCE | Council of Europe | Explanatory Report to CETS No.225 | CETS-225-EXPLANATORY,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INT-002 [COE] [Council of Europe] [OFFICIAL-GUIDANCE] [CETS-225-EXPLANATORY] — CETS No.225 Explanatory Report.pdf,READY_PDF,VERIFIED_OFFICIAL
INT-003,NB01,NB01;NB06,INT-003 | UNESCO | SOFT-LAW | UNESCO | Recommendation on the Ethics of Artificial Intelligence | 41C-RECOMMENDATION-2021,PDF_DOWNLOAD_ALLOWED,86_NOTEBOOKLM/downloads/INT-003 [UNESCO] [UNESCO] [SOFT-LAW] [41C-RECOMMENDATION-2021] — Recommendation on the Ethics of Artificial Intelligence (2021).pdf,READY_PDF,VERIFIED_OFFICIAL
INT-004,NB01,NB01;NB06,INT-004 | UNESCO | SOFT-LAW | UNESCO | Recommendation on the Ethics of Neurotechnology | 43GC-LEGACY-SUPERSEDED,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INT-004 [UNESCO] [UNESCO] [SOFT-LAW] [43GC-LEGACY-SUPERSEDED] — Recommendation on the Ethics of Neurotechnology (2025) 43rd General Conference resolutions source.pdf,SUPERSEDED_DO_NOT_UPLOAD,VERIFIED_OFFICIAL_CERTIFIED_COPY_PRIOR_PIN; R032_GITHUB_RUNNER_ACCESS_BLOCKED_403
INT-005,NB01,NB01,INT-005 | OECD | SOFT-LAW | OECD | OECD AI Principles | OECD-AI-PRINCIPLES-2024,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INT-005 [OECD] [OECD] [SOFT-LAW] [OECD-AI-PRINCIPLES-2024] — OECD AI Principles (updated 2024).pdf,READY_PDF,VERIFIED_OFFICIAL
INT-006,NB01,NB01,INT-006 | UN | UN-RESOLUTION | United Nations | Seizing the opportunities of safe secure and trustworthy AI systems for sustainable development | A-RES-78-265,URL_DIRECT_PREFERRED,"86_NOTEBOOKLM/downloads/INT-006 [UN] [United Nations] [UN-RESOLUTION] [A-RES-78-265] — A RES 78 265 — Safe, secure and trustworthy AI systems for sustainable development.pdf",READY_PDF,VERIFIED_OFFICIAL
INT-007,NB01,NB01,INT-007 | UN | UN-RESOLUTION | United Nations | Pact for the Future including Global Digital Compact | A-RES-79-1-SUPPORTING-BUNDLE,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INT-007 [UN] [United Nations] [UN-RESOLUTION] [A-RES-79-1-SUPPORTING-BUNDLE] — Pact for the Future Global Digital Compact — A RES 79 1.pdf,READY_URL,VERIFIED_OFFICIAL_EXACT_A_RES_79_1_SOURCE_R032
INT-008,NB01,NB01,INT-008 | UN | OFFICIAL-GUIDANCE | United Nations | Governing AI for Humanity - Final Report | UN-AI-ADVISORY-2024,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/INT-008 [UN] [United Nations] [OFFICIAL-GUIDANCE] [UN-AI-ADVISORY-2024] — Governing AI for Humanity — UN Advisory Body final report.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-001,NB02,NB02;NB07;NB09;NB06,EU-001 | EU | REGULATION | EUR-Lex | Artificial Intelligence Act - current consolidated text | SNAPSHOT-2026-07-27,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-001 [EU] [EUR-Lex] [REGULATION] [SNAPSHOT-2026-07-27] — Current consolidated AI Act.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-002,NB02,NB02,EU-002 | EU | REGULATION | EUR-Lex | Digital Omnibus on AI | 2026-1744,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-002 [EU] [EUR-Lex] [REGULATION] [2026-1744] — Regulation (EU) 2026 1744 — Digital Omnibus on AI.pdf,READY_PDF,VERIFIED_OFFICIAL
EU-003,NB02,NB02;NB07,EU-003 | EU | DIRECTIVE | EUR-Lex | Product Liability Directive | 2024-2853,URL_DIRECT_PREFERRED,86_NOTEBOOKLM/downloads/EU-003 [EU] [EUR-Lex] [DIRECTIVE] [2024-2853] — Directive (EU) 2024 2853 — Product Liability Directive.pdf,READY_PDF,VERIFIED_OFFICIAL
