jurisdiction_id,name,jurisdiction_type,r007_state,verified_instrument_or_candidate,official_source,verified_date_or_version_signal,verification_state,last_checked,notes
US-AL,Alabama,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-AK,Alaska,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-AZ,Arizona,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-AR,Arkansas,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-CA,California,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-CO,Colorado,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-CT,Connecticut,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-DE,Delaware,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-FL,Florida,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-GA,Georgia,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-HI,Hawaii,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-ID,Idaho,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-IL,Illinois,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-IN,Indiana,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-IA,Iowa,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-KS,Kansas,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
US-KY,Kentucky,SUBNATIONAL_STATE,ENUMERATED_RESEARCH_REQUIRED,,,,RESEARCH_REQUIRED,2026-09-14,No negative inference: unverified in R007 does not mean no AI-related law exists
