source_key,jurisdiction,authority_class,title,official_url,source_mode,http_status,content_type,byte_size,sha256,pages,verification_state,binding_scope,critical_limit,evidence_markers
EU-STATE-001,EU,STATUTE_OR_REGULATION,Regulation (EU) 2024/1689 — AI Act consolidated Article 2 scope boundaries,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,REPOSITORY_CONTROLLED_SNAPSHOT,N/A,application/pdf,1309163,1ccd38d1c78482cf2053b70110115adcc5080700acc8bd7bead8cb3579143ccf,151,REPOSITORY_CONTROLLED_BODY_AND_MARKERS_VERIFIED,BINDING_EU_REGULATION_WITH_PHASED_APPLICATION,AI Act scope exclusion != exemption from all law,national security; military; defence
COE-STATE-001,COE,TREATY_TEXT,CETS 225 Framework Convention — Article 3 national-security/defence scope,https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225,REPOSITORY_CONTROLLED_SNAPSHOT,N/A,application/pdf,362548,1ac6c8a85f55446cdb53697b57c6be3ce8757068043992955eda571e7fe52f23,12,REPOSITORY_CONTROLLED_BODY_AND_MARKERS_VERIFIED,TREATY_TEXT_CURRENT_STATUS_GATE_R004,Treaty text != treaty currently in force for a Party; R004 status controls,national security interests; national defence
US-STATE-001,US,OMB_MEMORANDUM,OMB M-25-21 — federal AI governance scope,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,REPOSITORY_CONTROLLED_SNAPSHOT,N/A,application/pdf,2629748,0aab0aa4eaeac969ed93894d3940c5dc9d0b7377048171b164a439e8b9e49813,25,REPOSITORY_CONTROLLED_BODY_AND_MARKERS_VERIFIED,EXECUTIVE_BRANCH_OPERATIONAL_MEMORANDUM_WITHIN_SCOPE,OMB memorandum != Act of Congress; exact exclusion/scope wording controls,national security
US-STATE-001-LIVE,US,OMB_MEMORANDUM,OMB M-25-21 — live official PDF currentness recheck,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,LIVE_OFFICIAL,200,application/pdf,2629748,0aab0aa4eaeac969ed93894d3940c5dc9d0b7377048171b164a439e8b9e49813,25,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,EXECUTIVE_BRANCH_OPERATIONAL_MEMORANDUM_WITHIN_SCOPE,Live byte identity/currentness does not convert memorandum into generally applicable statute,national security
EU-STATE-002,COE,TREATY_PRIMARY,European Convention on Human Rights — Articles 8 and 13,https://www.echr.coe.int/documents/d/echr/convention_eng,LIVE_OFFICIAL,200,application/pdf,1360982,f4608f7ed2d505debc85866f02290cf1e1c386eb1a605833bd6a3ee4ffb3febe,34,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,BINDING_TREATY_FOR_CONTRACTING_PARTIES_SUBJECT_TO_JURISDICTION_AND_RESERVATIONS,ECHR layer is not an AI-specific statute and applicability/remedy is fact- and jurisdiction-specific,private and family life; national security; effective remedy
US-STATE-002,US,STATUTE_OR_REGULATION,44 U.S.C. §3552 — national security system definition,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title44-section3552,LIVE_OFFICIAL,200,text/html;charset=UTF-8,147856,25d2fed8900a8ca4fe1ba00a8523fc3729c61472b80e6c5588fbbb0441fcb352,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,BINDING_FEDERAL_STATUTE,Definition does not itself create an AI duty or remedy,national security system; intelligence activities; cryptologic activities
US-STATE-003,US,STATUTE_OR_REGULATION,5 U.S.C. §702 — Administrative Procedure Act review / nonmoney relief,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title5-section702,LIVE_OFFICIAL,200,text/html;charset=UTF-8,144740,0ad705dc4a42cd5ef269702df8009bd174597308dc9c61d6888722120f966940,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,BINDING_FEDERAL_STATUTE,Waiver/review route remains subject to other limitations on judicial review and applicable causes of action,right of review; relief other than money damages; sovereign immunity
US-STATE-004,US,STATUTE_OR_REGULATION,28 U.S.C. §1346(b) — FTCA jurisdictional grant,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title28-section1346,LIVE_OFFICIAL,200,text/html;charset=UTF-8,183860,269ebba7148b3ac8217357242a495170db40d4d2d30d15478c17b013d4dbeddc,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,BINDING_FEDERAL_STATUTE,Jurisdictional waiver conditions require employee/scope/place-law analysis,civil actions on claims against the united states; money damages; negligent or wrongful act
US-STATE-005,US,STATUTE_OR_REGULATION,28 U.S.C. §2674 — United States liability under FTCA,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title28-section2674,LIVE_OFFICIAL,200,text/html;charset=UTF-8,147733,04d659d4f0525c8ac6f65f9358a8777266e4ecfb9d90564db0eabe7f70e142bd,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,BINDING_FEDERAL_STATUTE,Does not override statutory exceptions or establish AI-specific liability,liable; same manner and to the same extent as a private individual
US-STATE-006,US,STATUTE_OR_REGULATION,28 U.S.C. §2680 — FTCA exceptions,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title28-section2680,LIVE_OFFICIAL,200,text/html;charset=UTF-8,166158,fe3a1ccf4b09f7d3f9d2aa85ce4a764979e68966136ada4c82b118c7a4a56ea1,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,BINDING_FEDERAL_STATUTE,Exception analysis is claim- and fact-specific; exception != no underlying duty,discretionary function; due care; foreign country
US-STATE-007,US,STATUTE_OR_REGULATION,50 U.S.C. §3033 — Inspector General of the Intelligence Community,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title50-section3033,LIVE_OFFICIAL,200,text/html;charset=UTF-8,229521,facae5c53ef10e741d9be66ea076ec2352a1a2a5f145264737f26b70f73bc376,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,BINDING_FEDERAL_STATUTE,Oversight mechanism != public transparency or private damages remedy,inspector general; intelligence community; independent
US-STATE-008,US,OFFICIAL_DEPARTMENTAL_DIRECTIVE,DoD Directive 3000.09 — Autonomy in Weapon Systems,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/300009p.PDF,LIVE_OFFICIAL,403,text/html,451,5f436aff6efe2f55322bc18e3a4a88d956df7cac3bde758ae73c0c5d4d38a105,,ACCESS_HTTP_403,BINDING_OR_OPERATIONAL_DEPARTMENTAL_POLICY_WITHIN_DOD_SCOPE,Autonomous-weapon policy != general rule for all defence AI and != statute,autonomy in weapon systems; human judgment; use of force
