notebook_pack,source_id,source_type,repository_path_or_url,ingestion_mode,readiness,authority_label,currentness_warning,upload_now,hold_reason,notes
NB01,INT-001,TREATY_OR_INTERNATIONAL_INSTRUMENT,https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225,URL,READY_URL,TREATY_OR_INTERNATIONAL_INSTRUMENT,VERIFIED_OFFICIAL_CURRENT_TREATY_STATUS_R004,YES,,"R004 live Treaty Office baseline (status as of 2026-09-12): 21 signatories; 20 signature-only; 1 approval/ratification (EU, 2026-05-15); 0 CoE-member ratifications; Article 30 threshold unmet. Current declarations displayed for EU, Norway and Ukraine; no reservation entry displayed. Repository INT-001 binary is treaty text, not live status; recheck dynamic Treaty Office before country-effect claims."
NB01,INT-002,OFFICIAL_GUIDANCE,https://rm.coe.int/1680afae67,URL,READY_URL,OFFICIAL_GUIDANCE,VERIFIED_OFFICIAL,YES,,Use to interpret drafting context but not as treaty text
NB01,INT-003,SOFT_LAW_RECOMMENDATION,86_NOTEBOOKLM/downloads/INT-003 [UNESCO] [UNESCO] [SOFT-LAW] [41C-RECOMMENDATION-2021] — Recommendation on the Ethics of Artificial Intelligence (2021).pdf,PDF,READY_PDF,SOFT_LAW_RECOMMENDATION,VERIFIED_OFFICIAL,YES,,Adopted 23 Nov 2021; source itself states open-access CC-BY-NC-SA 3.0 IGO; repository vendoring is rights-eligible subject to exact-byte acquisition and attribution
NB01,INT-004,SOFT_LAW_RECOMMENDATION,https://unesdoc.unesco.org/ark:/48223/pf0000397812_eng,URL_PRIMARY,READY_URL,SOFT_LAW_RECOMMENDATION,VERIFIED_OFFICIAL_CERTIFIED_COPY_PRIOR_PIN; R032_GITHUB_RUNNER_ACCESS_BLOCKED_403,YES,,Adopted 11 Nov 2025; UNESCO published the certified copy on 31 Mar 2026. Use the certified-copy URL for NB06; do not infer public-repository binary vendoring rights without work-specific licence verification. R032 GitHub runner recheck returned HTTP 403 on 2026-09-14; preserve the prior verified certified-copy pin and do not claim fresh R032 content-body verification. | Do not upload the legacy 43GC repository PDF as the current primary source.
NB01,INT-005,SOFT_LAW_RECOMMENDATION,https://www.oecd.org/en/topics/ai-principles.html,URL,READY_URL,SOFT_LAW_RECOMMENDATION,VERIFIED_OFFICIAL,YES,,Updated in 2024
NB01,INT-006,TREATY_OR_INTERNATIONAL_INSTRUMENT,https://digitallibrary.un.org/record/4043244/,URL,READY_URL,TREATY_OR_INTERNATIONAL_INSTRUMENT,VERIFIED_OFFICIAL,YES,,"Official full text is public at UN Digital Library/docs.un.org; generic UN copyright/reproduction terms do not justify automatic public-repository vendoring, so prefer URL ingestion unless permission is established"
NB01,INT-007,TREATY_OR_INTERNATIONAL_INSTRUMENT,https://docs.un.org/en/A/RES/79/1,URL,READY_URL,TREATY_OR_INTERNATIONAL_INSTRUMENT,VERIFIED_OFFICIAL_EXACT_A_RES_79_1_SOURCE_R032,YES,,"Use adopted official A/RES/79/1 source, not draft revisions. R032 resolved the official UN viewer and PDF chain: https://docs.un.org/en/A/RES/79/1 -> https://documents.un.org/doc/undoc/gen/n24/272/22/pdf/n2427222.pdf; 56 pages; 649956 bytes; SHA-256 0c3968d0ce8d55cf107309794adea6879d70f9aea60e6d6d64e3a8da4b028336; A/RES/79/1, Pact for the Future and Global Digital Compact markers verified. Prefer URL ingestion; no public-repository vendoring right inferred."
NB01,INT-008,OFFICIAL_GUIDANCE,https://digitallibrary.un.org/record/4062495,URL,READY_URL,OFFICIAL_GUIDANCE,VERIFIED_OFFICIAL,YES,,Official report states Copyright © 2024 United Nations and reproduction restrictions; keep official URL as source instead of vendoring full PDF absent an adequate permission basis
NB01,US-007,OFFICIAL_STANDARD_OR_FRAMEWORK,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,URL,READY_URL,OFFICIAL_STANDARD_OR_FRAMEWORK,VERIFIED_OFFICIAL,YES,,NIST states AI RMF 1.0 is being revised; recheck before use
NB01,US-008,OFFICIAL_STANDARD_OR_FRAMEWORK,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,URL,READY_URL,OFFICIAL_STANDARD_OR_FRAMEWORK,VERIFIED_OFFICIAL,YES,,Companion profile to AI RMF
NB02,EU-001,STATUTE_OR_REGULATION,86_NOTEBOOKLM/downloads/EU-001 [EU] [EUR-Lex] [REGULATION] [SNAPSHOT-2026-07-27] — Current consolidated AI Act.pdf,PDF,READY_PDF,STATUTE_OR_REGULATION,VERIFIED_OFFICIAL,YES,,Always recheck current consolidated version date
