RUN_ID,SOURCE_ID,THREAT_ID,RELATIONSHIP_CLASS,SUMMARY,SOURCE_LOCATOR,LIMITATIONS
RUN-20260914-001,EU-001,THR-001,DIRECT_EXPLICIT,"Prohibition of subliminal, manipulative or deceptive AI techniques causing material distortion of behavior and significant harm",Article 5(1)(a),Requires causal link to significant harm
RUN-20260914-001,EU-001,THR-002,DIRECT_EXPLICIT,"Prohibition of AI exploiting vulnerabilities due to age, disability or specific socio-economic situation causing significant harm",Article 5(1)(b),Requires exploitation of specific vulnerability class
RUN-20260914-001,EU-001,THR-003,DIRECT_EXPLICIT,Prohibition of untargeted facial image scraping from internet/CCTV and real-time remote biometric identification in public spaces for law enforcement,"Article 5(1)(e), Article 5(1)(h)","Law enforcement exceptions for targeted victim search, terrorism prevention, and major crimes under strict judicial authorization"
RUN-20260914-001,EU-001,THR-004,DIRECT_EXPLICIT,Prohibition of social scoring leading to detrimental or unfavourable treatment in unrelated social contexts or disproportionate treatment,Article 5(1)(c),Applies to social behavior evaluation over time
RUN-20260914-001,EU-001,THR-005,DIRECT_EXPLICIT,Prohibition of emotion recognition systems in workplace and educational institutions,Article 5(1)(f),Exempt if intended for medical or safety reasons
RUN-20260914-001,EU-001,THR-006,DIRECT_EXPLICIT,"Prohibition of biometric categorisation systems deducing race, political opinions, trade union membership, religious beliefs, sex life, or sexual orientation",Article 5(1)(g),Excludes lawful law enforcement labelling or filtering of acquired datasets
RUN-20260914-001,EU-001,THR-007,DIRECT_EXPLICIT,"Prohibition of generating non-consensual intimate images (NCII) / CSAM (Art. 5(1)(ba), (bb)) and mandatory deepfake transparency labeling (Art. 50(2), (4))","Article 5(1)(ba), (bb), Article 50(2), (4)",Artistic/satirical exemptions allow limited disclosure
RUN-20260914-001,EU-001,THR-008,DIRECT_EXPLICIT,"Mandatory technical resilience against adversarial attacks, data poisoning, model poisoning, and evasion for high-risk AI and GPAI","Article 15(5), Article 55(1)(d)",Requires state-of-the-art cybersecurity measures
RUN-20260914-001,EU-001,THR-009,DIRECT_EXPLICIT,Mandatory mitigation of feedback loops in AI systems that continue to learn after deployment to prevent biased outputs influencing future inputs,Article 15(4),Applies specifically to continuously learning AI systems
RUN-20260914-001,EU-001,THR-010,DIRECT_EXPLICIT,Mandatory human oversight design to prevent automation bias (over-reliance) and inclusion of stop button / override capability,"Article 14(4)(b), (e)",Requires competent personnel assigned to oversight
RUN-20260914-001,EU-001,THR-011,DIRECT_EXPLICIT,"Classification of AI safety components in critical digital infrastructure, traffic, water, gas, heating, and electricity as high-risk; serious incident reporting for infrastructure disruption","Annex III point 2, Article 3(49)(b)",Subject to strict Section 2 conformity assessment
RUN-20260914-001,EU-001,THR-012,DIRECT_EXPLICIT,Special regulatory regime for GPAI models with systemic risks capable of causing cascading failures across Union market or fundamental rights,"Article 3(65), Article 51, Article 55",Triggered at 10^25 FLOPs or Commission designation
RUN-20260914-001,EU-001,THR-013,ANALOGICAL,Inclusion of emerging autonomous AI technologies such as 'Agentic AI' under designation category AIH 0401,Annex XIV point 3(d),Framework allows notification scope expansion for autonomous agent architectures
