source_id,title,domain,authority,authority_class,official_url,document_id,enactment_or_publication_date,binding_state,currentness_state,primary_source_state,notebook_pack,caveat
GB-001,United Kingdom General Data Protection Regulation (UK GDPR),DATA_PROTECTION,UK legislation / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/eur/2016/679/contents,Regulation (EU) 2016/679 — United Kingdom General Data Protection Regulation,2016-04-27,binding UK data-protection law; exact provision-level effect/currentness must be rechecked,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official legislation.gov.uk title explicitly identifies the United Kingdom General Data Protection Regulation. XML enactment-date attribute verified as 2016-04-27. Do not infer UK domestic commencement or current effect of every provision from that date.
GB-002,Data Protection Act 2018,DATA_PROTECTION,UK Parliament / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2018/12/contents,2018 c. 12,2018-05-23,binding UK Act; exact provision-level effect/currentness must be rechecked,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official latest-available revised page and XML enactment-date attribute verified. Commencement is not inferred from enactment date.
GB-003,Data (Use and Access) Act 2025,DATA_PROTECTION_AND_DIGITAL,UK Parliament / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2025/18/contents,2025 c. 18,2025-06-19,binding UK Act with provision-specific commencement/currentness dependencies,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_STAGED_COMMENCEMENT_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official latest-available revised page and XML enactment-date attribute verified. R009 does not normalize section-by-section commencement or amendment effects.
GB-004,Online Safety Act 2023,ONLINE_SAFETY,UK Parliament / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2023/50/contents,2023 c. 50,2023-10-26,binding UK Act with provision-specific commencement and secondary/regulator implementation dependencies,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_STAGED_COMMENCEMENT_AND_OFCOM_IMPLEMENTATION_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official latest-available revised page and XML enactment-date attribute verified. Ofcom online-safety hub returned HTTP 403 to the GitHub runner; that access failure is not source absence.
GB-005,"Digital Markets, Competition and Consumers Act 2024",COMPETITION_AND_CONSUMER,UK Parliament / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2024/13/contents,2024 c. 13,2024-05-24,binding UK Act with provision-specific commencement/currentness dependencies,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official latest-available revised page and XML enactment-date attribute verified. R009 does not map every Part commencement or CMA enforcement procedure.
GB-006,Consumer Rights Act 2015,CONSUMER,UK Parliament / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2015/15/contents,2015 c. 15,2015-03-26,binding UK Act; application to a concrete AI product/service depends on facts and provision,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official latest-available revised page and XML enactment-date attribute verified. No AI-specific duty is inferred from source identity alone.
GB-007,Consumer Protection Act 1987,PRODUCT_LIABILITY,UK Parliament / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/1987/43/contents,1987 c. 43,1987-05-15,binding UK Act; product-liability application to AI remains a separate legal analysis,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECTION_LEVEL_CURRENTNESS_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official latest-available revised page and XML enactment-date attribute verified. R009 does not conclude that a model/software output is a defective product or that liability exists.
GB-008,Product Regulation and Metrology Act 2025,PRODUCT_REGULATION,UK Parliament / legislation.gov.uk,STATUTE_OR_REGULATION,https://www.legislation.gov.uk/ukpga/2025/20/contents,2025 c. 20,2025-07-21,binding UK Act/enabling product-regulation framework; concrete duties may depend on secondary regulations and commencement,LATEST_AVAILABLE_REVISED_OFFICIAL_PAGE_SECONDARY_REGULATION_AND_SECTION_LEVEL_RECHECK_REQUIRED,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,Official latest-available revised page and XML enactment-date attribute verified. R009 does not infer secondary regulations or product-specific AI duties that were not separately checked.
GB-009,AI Growth Lab,AI_GOVERNANCE_POLICY,"UK Government / Department for Science, Innovation and Technology",POLICY_PROPOSAL,https://www.gov.uk/government/calls-for-evidence/ai-growth-lab,GOV.UK call for evidence — AI Growth Lab,2025-10-21,closed call for evidence / proposed regulatory sandbox modifications; nonbinding; not enacted law,OFFICIAL_GOVUK_CURRENT_PAGE_VERIFIED_NONBINDING_PROPOSAL_UPDATED_2025-12-18,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,GOV.UK Content API exact identity verified. Page states the proposed AI Growth Lab would support targeted regulatory modifications under safeguards. Proposal/call for evidence is not current binding law.
GB-010,Regulators’ strategic approaches to AI,AI_GOVERNANCE_REGULATORS,UK Government / cross-regulator coordination,OFFICIAL_GUIDANCE,https://www.gov.uk/government/publications/regulators-strategic-approaches-to-ai,GOV.UK regulator-strategy notice 2024,2024-05-01,official nonbinding notice/coordination record; not statute,OFFICIAL_GOVUK_PAGE_VERIFIED_NONBINDING_REGULATOR_STRATEGY_SNAPSHOT,VERIFIED_OFFICIAL_SOURCE_IDENTITY_R009,NB05,GOV.UK Content API exact identity verified. Notice records strategic AI approaches requested from key regulators; it does not itself create statutory AI duties.
