source_key,jurisdiction,authority_class,title,official_url,http_status,content_type,byte_size,sha256,pages,verification_state,repository_snapshot,notes
EU-001,EU,STATUTE_OR_REGULATION,Artificial Intelligence Act — current consolidated snapshot,https://eur-lex.europa.eu/eli/reg/2024/1689,REPOSITORY_CONTROLLED,application/pdf,1309163,1ccd38d1c78482cf2053b70110115adcc5080700acc8bd7bead8cb3579143ccf,151,VERIFIED_EXISTING_R030_EXACT_OFFICIAL_PDF; R015_ART17_ART55_MARKERS_VERIFIED,EXISTING_REPOSITORY_BINARY,Provider/entity organizational obligations; no board/officer personal liability inferred.
US-007,US,OFFICIAL_STANDARD_OR_FRAMEWORK,NIST AI Risk Management Framework 1.0,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,200,text/html; charset=UTF-8,1946127,7576edb531d9848825814ee88e28b1795d3a84b435b4b797d3670eafdc4a89f1,48,OFFICIAL_PAGE_RECHECKED; REPOSITORY_SNAPSHOT_MARKERS_VERIFIED; VOLUNTARY_NONBINDING,EXISTING_REPOSITORY_BINARY,"Govern function is operational framework evidence, not fiduciary law; revision-state warning preserved."
US-DE-STAT-001,US-DE,STATUTE_OR_REGULATION,Delaware General Corporation Law — Title 8 §§ 141-142 current official HTML,https://delcode.delaware.gov/title8/c001/sc04/index.html,200,text/html,66907,6854d085538edb49b067d2ed41fdd9129b06ee46d32f1492a830abeabb9c2a06,,CURRENT_OFFICIAL_HTML_SECTION_MARKERS_VERIFIED,URL_DIRECT_ONLY,§141 board management/direction; §142 officer roles; dynamic current URL preferred.
US-DE-STAT-001-PDF-PROBE,US-DE,STATUTE_OR_REGULATION,Delaware Code Title 8 — transient official PDF currentness probe,https://delcode.delaware.gov/title8/title8.pdf,200,application/pdf,1166003,508f4a03a9044399701c65b6fca0f086b5050a499f5674ed952f0d789bf8d8a6,128,OFFICIAL_PDF_BODY_VERIFIED_TRANSIENTLY,NOT_VENDORED_DYNAMIC_CODE,Hash records fetched bytes only; current official HTML remains preferred.
US-DE-CASE-001,US-DE,COURT_PRECEDENT,Marchand v. Barnhill,https://courts.delaware.gov/Opinions/Download.aspx?id=291200&lang=en,200,text/html,244,05c9d4dcd558fa34e4441d4e0f7afa4b4c78a283d05c902806a924b475b0f201,,OFFICIAL_COURT_GITHUB_RUNNER_BODY_NOT_PDF_HTTP_200,NOT_PINNED,Official URL identity retained; GitHub runner returned non-PDF body. This access result is not a no-case finding; full-text admission requires separate official-source verification.
US-DE-CASE-002,US-DE,COURT_PRECEDENT,In re McDonald's Corp. Stockholder Derivative Litigation — officer oversight opinion,https://courts.delaware.gov/Opinions/Download.aspx?id=343130,200,text/html,244,28e601d07ac8c36c69179589a7f74626d0538d6c82ab4321dfa7a3327f827332,,OFFICIAL_COURT_GITHUB_RUNNER_BODY_NOT_PDF_HTTP_200,NOT_PINNED,Official URL identity retained; GitHub runner returned non-PDF body. This access result is not a no-case finding; full-text admission requires separate official-source verification.
US-DE-CASE-003,US-DE,COURT_PRECEDENT,In re McDonald's Corp. Stockholder Derivative Litigation — director dismissal opinion,https://courts.delaware.gov/Opinions/Download.aspx?id=344560,200,text/html,244,3556cb810ba8816330c2caa36ced0357759403f0fb315b27c92fb6b6832e2ba1,,OFFICIAL_COURT_GITHUB_RUNNER_BODY_NOT_PDF_HTTP_200,NOT_PINNED,Official URL identity retained; GitHub runner returned non-PDF body. This access result is not a no-case finding; full-text admission requires separate official-source verification.
US-SEC-229.105,US,STATUTE_OR_REGULATION,17 CFR § 229.105 — current eCFR probe,https://www.ecfr.gov/current/title-17/chapter-II/part-229/subpart-229.100/section-229.105,200,text/html; charset=utf-8,10596,0a2871a565ccc0e1282182547fc2af1c9a638ea7aa6fa902162c667dc404d256,,CURRENT_ECFR_HTTP_BODY_ACQUIRED,URL_DIRECT_ONLY,Dynamic current source; recheck before material issuer-disclosure conclusions.
US-SEC-229.303,US,STATUTE_OR_REGULATION,17 CFR § 229.303 — current eCFR probe,https://www.ecfr.gov/current/title-17/chapter-II/part-229/subpart-229.300/section-229.303,200,text/html; charset=utf-8,10596,7540c1ff065af75b6c8f44938c41c0157aa4b37c2c5921cda3726248c706f0aa,,CURRENT_ECFR_HTTP_BODY_ACQUIRED,URL_DIRECT_ONLY,Dynamic current source; recheck before material issuer-disclosure conclusions.
US-SEC-229.407,US,STATUTE_OR_REGULATION,17 CFR § 229.407 — current eCFR probe,https://www.ecfr.gov/current/title-17/chapter-II/part-229/subpart-229.400/section-229.407,200,text/html; charset=utf-8,10596,0a2871a565ccc0e1282182547fc2af1c9a638ea7aa6fa902162c667dc404d256,,CURRENT_ECFR_HTTP_BODY_ACQUIRED,URL_DIRECT_ONLY,Dynamic current source; recheck before material issuer-disclosure conclusions.
US-SEC-33-9089,US,STATUTE_OR_REGULATION,SEC Proxy Disclosure Enhancements — Release 33-9089,https://www.sec.gov/files/rules/final/2009/33-9089.pdf,403,text/html,1925,fb72bc238612d274d08aa558d764657c88fc7930d756740bcd9a32e662297dc4,,SEC_FINAL_RULE_ACCESS_403,URL_DIRECT_ONLY,Historical adopting release for Item 407(h); current eCFR remains controlling current regulatory source.
US-SEC-AI-WASHING-2024,US,OFFICIAL_GUIDANCE,SEC Chair statement on AI washing,https://www.sec.gov/newsroom/speeches-statements/sec-chair-gary-gensler-ai-washing,403,text/html,1925,31e066c9a4390752e2dc7945c179df049dbc73b10b78594c4ec89deda94c76b8,,SEC_STATEMENT_ACCESS_403,URL_DIRECT_ONLY,Chair statement/enforcement signal; not regulation and not standalone private-liability rule.
