RUN_ID,SOURCE_ID,ACTOR,RIGHT_OR_INTEREST,DUTY_OR_SAFEGUARD,CONDITION,SOURCE_LOCATOR,EXCEPTION,REMEDY_OR_ENFORCEMENT,BINDING_STATE,LIMITATIONS
RUN-20260914-001,EU-001,Provider,"Health, Safety, Fundamental Rights","Establish, implement, document and maintain a Risk Management System throughout the lifecycle",High-risk AI systems,Article 9,None,Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Must be updated based on post-market monitoring data
RUN-20260914-001,EU-001,Provider,Data Quality and Non-discrimination,"Apply data governance and management practices for training, validation and testing data sets",High-risk AI systems using model training,Article 10,Non-training AI systems apply criteria only to testing data (Art. 10(6)),Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Special category personal data processing allowed strictly for bias detection under safeguards (Art. 4a)
RUN-20260914-001,EU-001,Provider,Transparency and Regulatory Verification,Draw up technical documentation demonstrating compliance and keep up to date,High-risk AI systems prior to placing on market,"Article 11, Annex IV",Simplified technical documentation form available for SMEs/Start-ups (Art. 11(1)),Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Must be kept for 10 years after market placement (Art. 18)
RUN-20260914-001,EU-001,Provider,Traceability and Post-market Surveillance,Ensure high-risk AI systems technically allow automatic recording of events (logs),High-risk AI systems during operation,Article 12,None,Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Logs must be kept for at least 6 months under provider control (Art. 19)
RUN-20260914-001,EU-001,Provider,User Informed Choice and Proper Use,Provide clear instructions for use and ensure operation is sufficiently transparent,High-risk AI systems,Article 13,None,Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,"Must include capabilities, limitations, and human oversight specifications"
RUN-20260914-001,EU-001,Provider,Human Control and Risk Mitigation,Design AI system with appropriate human-machine interface tools for effective human oversight,High-risk AI systems,Article 14,Law enforcement derogation for dual natural person verification (Art. 14(5)),Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Must enable stop button intervention and address automation bias
RUN-20260914-001,EU-001,Provider,System Integrity and Cyber Resilience,"Ensure appropriate levels of accuracy, robustness, and cybersecurity throughout lifecycle",High-risk AI systems,Article 15,None,Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,"Must implement technical measures against data poisoning, model evasion, and feedback loops"
RUN-20260914-001,EU-001,Provider,Quality Management and Organizational Accountability,Put in place a documented Quality Management System (QMS),High-risk AI systems,Article 17,Financial institutions fulfill QMS via sector governance rules (Art. 17(4)),Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Proportionate to organization size for SMEs/Start-ups
RUN-20260914-001,EU-001,Deployer,Safe and Compliant Operation,Use high-risk AI system in accordance with accompanying instructions for use and assign oversight to trained staff,High-risk AI systems operation,"Article 26(1), (2)",Personal non-professional activity (Art. 2(10)),Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Deployers exercising control over input data must ensure input relevance (Art. 26(4))
RUN-20260914-001,EU-001,Deployer,Worker Rights and Awareness,Inform workers' representatives and affected workers before putting high-risk AI system into service at workplace,Employer deployers using high-risk AI at work,Article 26(7),None,Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,Must comply with national/Union labor consultation rules
RUN-20260914-001,EU-001,Deployer,Fundamental Rights Protection,Perform Fundamental Rights Impact Assessment (FRIA) prior to deploying high-risk AI system,Public bodies and private entities providing public services deploying Annex III AI,Article 27,Annex III point 2 (critical infrastructure) exempt,Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,May cross-reference DPIA conducted under GDPR Art. 35
RUN-20260914-001,EU-001,Provider / Deployer,Public Transparency and Synthetic Content Detection,Mark synthetic outputs in machine-readable format and disclose deepfakes/emotion recognition,AI systems interacting with humans or generating synthetic/deepfake content,Article 50,Law enforcement crime detection exemptions; purely creative/artistic works (limited disclosure),Administrative fines up to EUR 15M or 3% global turnover (Art. 99(4)),Binding,"Marking must be effective, interoperable, robust, and reliable"
RUN-20260914-001,EU-001,GPAI Model Provider,Downstream Safety and Copyright Protection,"Draw up technical documentation, copyright policy, and publish training content summary",Placing general-purpose AI model on EU market,Article 53(1),Free and open-source models exempt from technical docs if non-systemic (Art. 53(2)),Administrative fines up to EUR 15M or 3% global turnover (Art. 101),Binding,Must comply with EU copyright reservation under Directive 2019/790 Art. 4(3)
RUN-20260914-001,EU-001,GPAI Systemic Risk Provider,Union-level Systemic Risk Prevention,"Perform model evaluations, red-teaming, assess systemic risks, report serious incidents, ensure cybersecurity",GPAI models with cumulative training compute > 10^25 FLOPs or designated by Commission,Article 55,None,Administrative fines up to EUR 15M or 3% global turnover (Art. 101),Binding,Codes of practice provide presumption of conformity until harmonised standards exist
