source_key,jurisdiction,authority_class,binding_or_operational_state,currentness_state,github_runner_or_repo_state,r017_use,critical_limit
EU-STATE-001,EU,STATUTE_OR_REGULATION,BINDING_EU_REGULATION_WITH_PHASED_APPLICATION,CONTROLLED_CONSOLIDATED_2026-07-27_R003_R030,REPOSITORY_SHA1ccd38d1_151P_MARKERS_VERIFIED,AI_ACT_ARTICLE2_NATIONAL_SECURITY_MILITARY_DEFENCE_SCOPE_BOUNDARY,"AI Act exclusion != exemption from all law; concrete purpose/scope fact-specific"
COE-STATE-001,COE,TREATY_TEXT,TREATY_TEXT_WITH_ENTRY_INTO_FORCE_GATE,R004_STATUS_CONTROLS_2026-09-12,REPOSITORY_SHA1ac6c8a8_12P_MARKERS_VERIFIED,CETS225_ARTICLE3_NATIONAL_SECURITY_DEFENCE_STRUCTURE,"treaty text != treaty currently in force; R004 says threshold not met"
US-STATE-001,US,OMB_MEMORANDUM,EXECUTIVE_BRANCH_OPERATIONAL_MEMORANDUM,CURRENT_LIVE_PDF_RECHECKED_2026-09-14,REPOSITORY_SHA0aab0aa4_25P_MARKERS_VERIFIED,FEDERAL_AI_GOVERNANCE_SCOPE,"memorandum != Act of Congress; separate national-security-system carveout not established by R017 text"
US-STATE-001-LIVE,US,OMB_MEMORANDUM,EXECUTIVE_BRANCH_OPERATIONAL_MEMORANDUM,LIVE_WHITE_HOUSE_HTTP200_2026-09-14,EXACT_SHA0aab0aa4_2629748B_25P,LIVE_CURRENTNESS_AND_BYTE_IDENTITY,"live exact match != generally applicable statute"
EU-STATE-002,COE,TREATY_PRIMARY,BINDING_TREATY_FOR_CONTRACTING_PARTIES,CURRENT_OFFICIAL_ECHR_PDF_2026-09-14,HTTP200_PDF_SHAf4608f7e_34P_MARKERS_VERIFIED,ECHR_ART8_PRIVACY_NATIONAL_SECURITY_LIMITATION_AND_ART13_REMEDY_LAYER,"not AI-specific; jurisdiction/admissibility/merits/remedy fact-specific"
US-STATE-002,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE_2026-09-14,HTTP200_HTML_MARKERS_VERIFIED,44_USC_3552_NATIONAL_SECURITY_SYSTEM_DEFINITION,"definition != AI exemption duty waiver or remedy"
US-STATE-003,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE_2026-09-14,HTTP200_HTML_MARKERS_VERIFIED,APA_702_NONMONEY_JUDICIAL_REVIEW_IMMUNITY_LAYER,"waiver != reviewability cause of action success or relief"
US-STATE-004,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE_2026-09-14,HTTP200_HTML_MARKERS_VERIFIED,FTCA_1346B_JURISDICTIONAL_ROUTE,"conditions and administrative exhaustion not fully mapped"
US-STATE-005,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE_2026-09-14,HTTP200_HTML_MARKERS_VERIFIED,FTCA_2674_LIABILITY_LAYER,"subject to exceptions and other FTCA conditions; no AI-specific liability"
US-STATE-006,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE_2026-09-14,HTTP200_HTML_MARKERS_VERIFIED,FTCA_2680_EXCEPTION_LAYER,"exception application fact-specific; exception != merits conclusion"
US-STATE-007,US,STATUTE_OR_REGULATION,BINDING_FEDERAL_STATUTE,CURRENT_PRELIM_US_CODE_2026-09-14,HTTP200_HTML_MARKERS_VERIFIED,ICIG_STATUTORY_OVERSIGHT_LAYER,"oversight != public transparency judicial merits review or private damages remedy"
US-STATE-008,US,OFFICIAL_DEPARTMENTAL_DIRECTIVE,CANDIDATE_OPERATIONAL_DEPARTMENTAL_POLICY,CURRENT_BODY_NOT_VERIFIED_R017,HTTP403_HTML_451B,DOD_AUTONOMOUS_WEAPONS_CANDIDATE_LAYER,"runner 403 != directive absent; no detailed body claim admitted"
