entity,entity_class,signature_date,ratification_acceptance_or_approval_date,treaty_entry_into_force_for_entity,status_2026_09_14,declaration_displayed,domestic_effect_state,official_status_as_of,claim_state
Albania,COE_MEMBER,2026-06-15,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Andorra,COE_MEMBER,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Armenia,COE_MEMBER,2026-01-27,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Bosnia and Herzegovina,COE_MEMBER,2025-12-09,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Georgia,COE_MEMBER,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Iceland,COE_MEMBER,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Liechtenstein,COE_MEMBER,2025-02-27,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Montenegro,COE_MEMBER,2024-11-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
North Macedonia,COE_MEMBER,2026-05-08,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Norway,COE_MEMBER,2024-09-05,,,SIGNED_NOT_RATIFIED,YES,ARTICLE_3_ROUTE_DECLARED_DOMESTIC_EFFECT_NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Republic of Moldova,COE_MEMBER,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
San Marino,COE_MEMBER,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Switzerland,COE_MEMBER,2025-03-27,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Ukraine,COE_MEMBER,2025-05-15,,,SIGNED_NOT_RATIFIED,YES,ARTICLE_3_AND_TERRITORIAL_ROUTE_DECLARED_DOMESTIC_EFFECT_NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
United Kingdom,COE_MEMBER,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Canada,NON_MEMBER_PARTICIPANT,2025-02-11,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
European Union,INTERNATIONAL_ORGANISATION,2024-09-05,2026-05-15,,APPROVAL_DEPOSITED_TREATY_NOT_YET_IN_FORCE,YES,EU_IMPLEMENTATION_ROUTE_DECLARED_VIA_AI_ACT_AND_RELEVANT_ACQUIS_TREATY_EFFECT_NOT_YET_IN_FORCE,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Israel,NON_MEMBER_PARTICIPANT,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Japan,NON_MEMBER_PARTICIPANT,2025-02-11,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
United States of America,NON_MEMBER_PARTICIPANT,2024-09-05,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
Uruguay,NON_MEMBER_PARTICIPANT,2025-09-02,,,SIGNED_NOT_RATIFIED,NO,NOT_VERIFIED,2026-09-12,VERIFIED_CURRENT_TREATY_OFFICE_BASELINE
