source_id,jurisdiction,authority,source_title,authority_class,current_pointer,currentness_state,live_probe_state,bounded_use,limits
R018-EU-BRUSSELS1,EU,European Union,Regulation (EU) No 1215/2012 Brussels I bis,BINDING_REGULATION,EUR-Lex ELI 2012/1215,OFFICIAL_IDENTITY_CURRENT_POINTER,HTTP_202_CHALLENGE_BODY_MARKERS_NOT_VERIFIED,jurisdiction/recognition-enforcement instrument identity only,article-level legal propositions not admitted in R018
R018-EU-ROME2,EU,European Union,Regulation (EC) No 864/2007 Rome II,BINDING_REGULATION,EUR-Lex ELI 2007/864,OFFICIAL_IDENTITY_CURRENT_POINTER,HTTP_202_CHALLENGE_BODY_MARKERS_NOT_VERIFIED,non-contractual applicable-law instrument identity only,article-level legal propositions not admitted in R018
R018-EU-ROME1,EU,European Union,Regulation (EC) No 593/2008 Rome I,BINDING_REGULATION,EUR-Lex ELI 2008/593,OFFICIAL_IDENTITY_CURRENT_POINTER,HTTP_202_CHALLENGE_BODY_MARKERS_NOT_VERIFIED,contractual applicable-law instrument identity only,article-level legal propositions not admitted in R018
R018-EU-EJUSTICE-JUR,EU,European e-Justice,Jurisdiction overview,OFFICIAL_INSTITUTIONAL_GUIDANCE,e-Justice current page,CURRENT_POINTER,HTTP_403_BODY_MARKERS_NOT_VERIFIED,fallback discovery only,not primary law and body inaccessible in runner
R018-EU-EJUSTICE-LAW,EU,European e-Justice,Applicable-law overview,OFFICIAL_INSTITUTIONAL_GUIDANCE,e-Justice current page,CURRENT_POINTER,HTTP_403_BODY_MARKERS_NOT_VERIFIED,fallback discovery only,not primary law and body inaccessible in runner
R018-EU-EJUSTICE-ENF,EU,European e-Justice,Recognition/enforcement overview,OFFICIAL_INSTITUTIONAL_GUIDANCE,e-Justice current page,CURRENT_POINTER,HTTP_403_BODY_MARKERS_NOT_VERIFIED,fallback discovery only,not primary law and body inaccessible in runner
R018-EU-AIA,EU,European Union,Regulation (EU) 2024/1689 consolidated 2026-07-27,BINDING_REGULATION,86_NOTEBOOKLM/downloads/Current consolidated AI Act.pdf,CONTROLLED_R003_CURRENT_SNAPSHOT_SHA256_1ccd38d1c78482cf2053b70110115adcc5080700acc8bd7bead8cb3579143ccf,R018_MARKER_PAIR_NOT_VERIFIED_REUSE_R003_VERIFIED_SCOPE_MAP,third-country/Union-use regulatory scope interface,not forum applicable-law or remedy rule
R018-EU-GDPR,EU,European Union,Regulation (EU) 2016/679 GDPR,BINDING_REGULATION,86_NOTEBOOKLM/downloads/GDPR.pdf,CONTROLLED_PRIMARY_SNAPSHOT_SHA256_bd84e63f5b622b739a83389afc3b30d240f792bb88d8eb03a816c9a82b0c2499,CONTROLLED_REPOSITORY_BODY_MARKERS_VERIFIED,Article 3 territorial-scope concepts,not civil forum or conflict-of-laws rule
R018-US-FRCP,US_FEDERAL,Administrative Office of the U.S. Courts,Federal Rules of Civil Procedure pamphlet Dec. 1 2025,OFFICIAL_CURRENT_RULES_PDF,https://www.uscourts.gov/sites/default/files/document/federal-rules-of-civil-procedure.pdf,CURRENT_2025-12-01_PAMPHLET_SHA256_bd8705fc038d87e4fe222a7ea2e4324222c9430e2373fce56826bd2dfa2f8baf,HTTP_200_BODY_MARKERS_VERIFIED,Rule 4 service/personal-jurisdiction interface,federal civil procedure only; constitutional/state-law dependencies open
R018-US-1391,US_FEDERAL,Office of Law Revision Counsel,28 U.S.C. §1391 Venue generally,BINDING_STATUTE,USC preliminary current page,CURRENT_OFFICIAL_CODE_POINTER,HTTP_200_BODY_MARKERS_VERIFIED,federal venue architecture,venue != personal jurisdiction
R018-US-1782,US_FEDERAL,Office of Law Revision Counsel,28 U.S.C. §1782 Assistance to foreign and international tribunals,BINDING_STATUTE,USC preliminary current page,CURRENT_OFFICIAL_CODE_POINTER,HTTP_200_BODY_MARKERS_VERIFIED,evidence-assistance interface,case-law scope and concrete entitlement open
