record_id,jurisdiction,source,provision,mechanism,trigger,actor,scope,retention_or_timing,consequence,limits,date_state,ai_specific,verification_state
R014-EU-AIA-012,EU,Regulation (EU) 2024/1689 consolidated 2026-07-27,Article 12,RECORD_CREATION_LOGGING,high-risk AI system within applicable scope,high-risk AI system/provider design layer,automatic event logging and traceability over system lifetime,system lifetime capability,regulatory compliance/enforcement layer; no civil presumption inferred,phased high-risk applicability preserved; Article 12 is not civil discovery,CONTROLLED_SNAPSHOT_2026-07-27,YES,VERIFIED_CURRENT_CONTROLLED_TEXT
R014-EU-AIA-019,EU,Regulation (EU) 2024/1689 consolidated 2026-07-27,Article 19,RECORD_RETENTION,automatically generated Article 12 logs under provider control,provider of high-risk AI system,provider retention of controlled logs,appropriate to intended purpose and at least 6 months unless other Union/national law provides otherwise,regulatory compliance/enforcement layer; no litigation-hold equivalence,subject to other applicable law including data protection; provision text does not establish universal current applicability,CONTROLLED_SNAPSHOT_2026-07-27,YES,VERIFIED_CURRENT_CONTROLLED_TEXT
R014-EU-AIA-026-6,EU,Regulation (EU) 2024/1689 consolidated 2026-07-27,Article 26(6),RECORD_RETENTION,automatically generated logs under deployer control,deployer of high-risk AI system,deployer retention of controlled logs,appropriate to intended purpose and at least 6 months unless other Union/national law provides otherwise,regulatory compliance/enforcement layer; no litigation-hold equivalence,subject to other applicable law including data protection; phased applicability preserved,CONTROLLED_SNAPSHOT_2026-07-27,YES,VERIFIED_CURRENT_CONTROLLED_TEXT
R014-EU-PLD-009-C,EU,Directive (EU) 2024/2853,Article 9(1),DISCLOSURE,claimant presents facts/evidence sufficient to support plausibility,defendant in qualifying product-liability proceeding,relevant evidence at defendant disposal,within national proceedings,disclosure ordered under implementing national procedure,necessary/proportionate; confidentiality/trade secrets; national procedure dependencies,TRANSPOSITION_DEADLINE_2026-12-09,NO_AI_SPECIFIC_GENERAL_PRODUCT_RULE,VERIFIED_PRIMARY_TEXT
R014-EU-PLD-009-D,EU,Directive (EU) 2024/2853,Article 9(2)-(7),DISCLOSURE,defendant demonstrates need for evidence to counter claim,claimant/court in qualifying proceeding,relevant evidence at claimant disposal and court-managed presentation/protection,within national proceedings,disclosure mechanism and protective measures,national law remains material; pre-trial disclosure rules unaffected,TRANSPOSITION_DEADLINE_2026-12-09,NO_AI_SPECIFIC_GENERAL_PRODUCT_RULE,VERIFIED_PRIMARY_TEXT
R014-EU-PLD-010-1,EU,Directive (EU) 2024/2853,Article 10(1),BURDEN_OF_PROOF,product-liability claim,claimant,defectiveness damage and causal link,case-specific,claimant baseline proof burden,national standard/procedure remains relevant,TRANSPOSITION_DEADLINE_2026-12-09,NO_AI_SPECIFIC_GENERAL_PRODUCT_RULE,VERIFIED_PRIMARY_TEXT
R014-EU-PLD-010-2A,EU,Directive (EU) 2024/2853,Article 10(2)(a),REBUTTABLE_PRESUMPTION,defendant fails to disclose relevant evidence under Article 9(1),court/defendant in qualifying proceeding,defectiveness,case-specific,rebuttable presumption of defectiveness,does not cover every missing log or every nondisclosure; Article 9 trigger required,TRANSPOSITION_DEADLINE_2026-12-09,NO_AI_SPECIFIC_GENERAL_PRODUCT_RULE,VERIFIED_PRIMARY_TEXT
R014-EU-PLD-010-4,EU,Directive (EU) 2024/2853,Article 10(4)-(5),REBUTTABLE_PRESUMPTION,excessive proof difficulty especially technical/scientific complexity plus likelihood threshold,court/claimant/defendant,defectiveness and/or causal link,case-specific,rebuttable presumption,conditions and case-specific national-court assessment required; defendant may rebut,TRANSPOSITION_DEADLINE_2026-12-09,AI_RELEVANT_MACHINE_LEARNING_EXAMPLE_IN_RECITAL,VERIFIED_PRIMARY_TEXT
R014-EU-GDPR-005-2,EU,Regulation (EU) 2016/679,Article 5(2),ACCOUNTABILITY,processing of personal data within GDPR,controller,ability to demonstrate compliance,ongoing,regulatory accountability,no general civil discovery or adverse-inference rule created,CURRENT_BINDING_REGULATION,NO,VERIFIED_PRIMARY_TEXT
R014-EU-GDPR-015,EU,Regulation (EU) 2016/679,Article 15,ACCESS,data subject personal data processed by controller,controller/data subject,data-subject access to personal data and specified processing information,request-based,access right under GDPR,not party discovery; scope/exceptions and other GDPR rules remain controlling,CURRENT_BINDING_REGULATION,NO,VERIFIED_PRIMARY_TEXT
