record_id,layer,jurisdiction_or_market,source_or_mechanism,current_state,financial_responsibility_signal,r013_classification,verified_limit
R013-001,CURRENT_LAW,EU,AI Act notified-body requirements,CURRENT_CONTROLLED_TEXT,"Notified bodies must take out appropriate liability insurance for conformity-assessment activities unless Member-State liability substitute applies",BINDING_SCOPED_REQUIREMENT,"Does not establish general provider/deployer/model-developer insurance mandate"
R013-002,CURRENT_LAW_DIRECTIVE,EU,Directive (EU) 2024/2853 Article 8(5),BINDING_DIRECTIVE_TRANSPOSITION_OPEN,"Member States may use existing national sectoral compensation schemes or establish new ones in specified no-liable-person/insolvency/cessation situations",PERMISSIVE_MEMBER_STATE_COMPENSATION_ARCHITECTURE,"Does not create EU-wide AI catastrophe fund; national implementation not mapped"
R013-003,CURRENT_LAW_DIRECTIVE,EU,Directive (EU) 2024/2853 Article 20,BINDING_DIRECTIVE_FUTURE_EVALUATION,"Commission evaluation includes availability of product liability insurance",INSURANCE_MARKET_MONITORING_SIGNAL,"Does not impose insurance purchase duty"
R013-004,CURRENT_LAW_DIRECTIVE,EU,Directive (EU) 2024/2853 recital compensation/insurance-scheme language,BINDING_DIRECTIVE_CONTEXT,"Compensation schemes outside liability regimes including insurance schemes are not precluded",SYSTEM_INTERACTION_SIGNAL,"Does not prove any AI-specific national scheme exists"
R013-005,CURRENT_LAW,EU,GDPR targeted financial-term search,CURRENT_CONTROLLED_TEXT,"No AI financial-assurance duty established by bounded targeted R013 search",BOUNDED_NO_HIT,"Not a universal negative finding about insurance or national/sector law"
R013-006,CURRENT_COMMERCIAL_MARKET,Commercial market,Armilla homepage,HTTP_200_2026-09-14,"Live page identifies Armilla as AI Insurance",COMMERCIAL_SOURCE_IDENTITY,"No policy wording limits exclusions licensing or claims-performance conclusion"
R013-007,CURRENT_COMMERCIAL_MARKET,Commercial market,Armilla /ai-insurance,HTTP_200_2026-09-14,"Live page title identifies AI Insurance – Lloyd’s Coverholder | Armilla AI",COMMERCIAL_SOURCE_SELF_DESCRIPTION,"Lloyd's Coverholder description not independently verified in R013; coverage unknown"
R013-008,CURRENT_COMMERCIAL_MARKET,Commercial market,Armilla broker AI insurance and warranty page,HTTP_200_2026-09-14,"Live broker-facing AI insurance/warranty page identity",COMMERCIAL_SOURCE_IDENTITY,"No inference of universal availability or terms"
R013-009,MARKET_SOURCE_ROUTING,Commercial market,Munich Re guessed AI candidate paths,HTTP_404_2026-09-14,"Candidate URLs unresolved",ACCESS_ROUTING_FAILURE,"HTTP 404 candidate URL does not establish product absence"
R013-010,WITHDRAWN_PROPOSAL,EU,AI Liability Directive procedure 2022/0303(COD),LAPSED_OR_WITHDRAWN,"European Parliament OEIL records Commission withdrawal on 2025-10-06",WITHDRAWN_LEGISLATIVE_PROPOSAL,"Not current law and not active proposal on 2026-09-14"
R013-011,PROPOSAL_SOURCE_ACCESS,EU,European Parliament resolution TA-9-2020-0276,HTTP_202_EMPTY_BODY,"HTML PDF XML and EUR-Lex tested representations did not yield a body in GitHub runner",PRIMARY_TEXT_NOT_ADMITTED,"No exact mandatory-insurance proposition admitted from inaccessible primary text"
R013-012,POLICY_RESEARCH,Comparative,Catastrophe bonds mutual pools developer reserves public-private reinsurance victim funds,NOT_ESTABLISHED_AS_CURRENT_LAW,"Research/design classes retained from project frame and supporting research",PROPOSAL_OR_RESEARCH_CLASS,"Must not be represented as current right duty or operational frontier-scale common fund"
R013-013,BOUNDED_NEGATIVE,Comparative,General AI provider/deployer mandatory insurance rule,NOT_ESTABLISHED_BY_R013_SET,"No general cross-actor mandate established by bounded verified sources",NOT_ESTABLISHED_BY_BOUNDED_SET,"Does not prove no jurisdiction has a relevant duty"
R013-014,BOUNDED_NEGATIVE,Comparative,Global frontier-AI catastrophe compensation fund,NOT_ESTABLISHED_BY_R013_SET,"No current global operational frontier-AI catastrophe-fund rule established",NOT_ESTABLISHED_BY_BOUNDED_SET,"Does not prove no national sectoral fund or future proposal exists"
