question_set_id,source_type,mandatory_overlay_questions,output_focus,hard_stop
QSET-CONSTITUTION,CONSTITUTIONAL_TEXT,"What rights/principles are stated?; What is the scope-of-application boundary?; What state/public/private actor nexus is required?; What balancing/limitation clauses apply?; What remedy/implementation route is visible?; Does the text itself create an individual cause of action?","right;scope;limitation;remedy;implementation","Do not universalize a constitutional right beyond its jurisdiction/scope"
QSET-STATUTE,STATUTE_OR_REGULATION,"Which actor has which exact duty/prohibition?; Which article/section states it?; What effective/application/transition date applies?; What exemptions/thresholds/sector/territorial rules apply?; Which regulator/enforcement/remedy provisions apply?; Are delegated/secondary rules required?","actor;duty;date;exception;enforcement;remedy","Publication date must not be substituted for commencement/application date"
QSET-TREATY,TREATY_OR_INTERNATIONAL_INSTRUMENT,"What is the legal form?; What conditions govern signature/ratification/approval/accession?; Is it in force and for whom?; What declarations/reservations/territorial limits exist?; Which provisions create obligations and for which parties?; What implementation dependency remains?","party_status;entry_into_force;obligation;declaration;reservation","Signature != ratification; treaty form != in-force effect"
QSET-COURT,BINDING_COURT_DECISION,"Identify court,docket,date,parties and procedural posture; What facts were accepted?; What legal issue was decided?; What exact holding and reasoning appear?; What remedy/order issued?; What precedential/binding scope exists?; Which facts limit analogy?","facts;issue;holding;reasoning;remedy;precedent;analogy_limit","No official/authorized full text => no verified case corpus entry"
QSET-GUIDANCE,OFFICIAL_GUIDANCE,"Who issued it and for whom?; Is it binding or advisory?; Which binding law/authority does it interpret or implement?; What practices are recommended/expected?; Which statements are policy rather than duty?; What version/update date applies?","issuer;audience;legal_basis;recommendation;version","Guidance != statute"
QSET-REGGUIDANCE,REGULATORY_GUIDANCE,"What regulator issued it?; Which statutory powers/laws underpin it?; Which regulated actors/audiences are addressed?; What expectations or interpretations are expressed?; Does it describe enforcement posture?; Which parts remain nonbinding?","regulator;legal_basis;expectation;enforcement_posture;nonbinding_limit","Regulatory guidance != automatic binding duty"
QSET-SOFTLAW,SOFT_LAW_RECOMMENDATION,"What body adopted it?; What normative principles/recommendations are stated?; Which actors/states are addressed?; What implementation/reporting mechanisms exist?; Which concepts may inform interpretation but are not binding law?","principle;recommendation;implementation;nonbinding_limit","Soft law != binding law"
QSET-FRAMEWORK,OFFICIAL_STANDARD_OR_FRAMEWORK,"What lifecycle/functions/categories does the framework define?; What risks/controls/evidence practices does it recommend?; Is conformity voluntary?; Which version is current?; Which legal duties, if any, are merely referenced rather than created?","risk_function;control;measurement;version;legal_limit","Framework compliance != legal compliance"
QSET-TECHSTD,TECHNICAL_STANDARD,"What is the standard number/title/version/scope?; Is full text licensed/available?; What conformity claims can be made from metadata alone?; Which controls/processes appear in official metadata?; Which legal/regulatory references use this standard?","metadata;scope;version;conformity;legal_reference","Metadata-only source cannot support unseen clause-level claims"
QSET-POLICY,POLICY_PROPOSAL,"Who proposes it?; Is it enacted/adopted or only proposed?; What future actions/forecasts are described?; Which statements are opinion/forecast?; What current law would need to change?; What evidence is offered for the proposal?","proposal_state;forecast;policy_action;current_law_gap","Proposal != current law; forecast != fact"
QSET-COMPANY-INCIDENT,OFFICIAL_COMPANY_STATEMENT,"What event does the company state occurred?; What dates/systems/access are stated?; Which facts are observed vs company attribution/hypothesis?; What controls failed or changed according to the source?; What scope/limitations are admitted?; What harm/causation/liability is NOT established?","incident_fact;attribution;control_change;scope_limit;unknown","Company attribution != court finding; incident != liability"
QSET-INDEPENDENT-INCIDENT,INDEPENDENT_REPORTING,"Who investigated and what access did they have?; What evidence/method is described?; Which facts are independently observed vs inferred?; How does it agree/disagree with company statements?; What limitations/conflicts remain?; What causal/legal conclusions are outside the report?","method;access;fact;corroboration;conflict;limitation","Independent report != legal judgment"
QSET-DEPTREG,DEPARTMENTAL_REGULATION,"Which agency/agencies issued it?; Under what superior law/authority?; Which actors/services are covered?; What exact duties/prohibitions and effective dates apply?; What filing/security/content obligations exist?; What enforcement/penalty mechanisms are stated?","issuer;legal_basis;actor;duty;date;enforcement","Authentic-language/currentness limitations must be explicit"
QSET-NATIONALLAW,NATIONAL_LAW,"Which legislature/state organ enacted it?; What exact provisions are relevant to AI/data/cyber/human rights?; Which actors and territories are covered?; What amendments/current version are visible?; What duties/remedies/penalties apply?; What interpretation gaps remain?","law;actor;scope;amendment;duty;remedy","No AI-specific duty inferred from title/source identity alone"
QSET-ADMINREG,ADMINISTRATIVE_REGULATION,"What executive/administrative authority issued it?; What superior-law basis exists?; Which actors/data/services are regulated?; What duties/approval/security/reporting requirements apply?; What effective/current version applies?; What penalties/enforcement powers appear?","authority;legal_basis;actor;duty;date;enforcement","Administrative regulation scope must not be generalized beyond text"
