source_id,notebook_pack,title,official_url,current_acquisition_method,request_class,notebook_upload_blocker,suggested_user_action,suggested_upload_filename,target_repository_path_if_authorized,state,notes
TR-001,NB04,Constitution of the Republic of Türkiye,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-001 [TR] [Mevzuat-Resmi Gazete] [CONSTITUTION] [2709-SNAPSHOT] — TÜRKİYE CUMHURİYETİ ANAYASASI.pdf,86_NOTEBOOKLM/downloads/TR-001 [TR] [Mevzuat-Resmi Gazete] [CONSTITUTION] [2709-SNAPSHOT] — TÜRKİYE CUMHURİYETİ ANAYASASI.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
TR-002,NB04,Personal Data Protection Law,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-002 [TR] [Mevzuat-Resmi Gazete] [LAW] [6698-SNAPSHOT] — KİŞİSEL VERİLERİN KORUNMASI KANUNU.pdf,86_NOTEBOOKLM/downloads/TR-002 [TR] [Mevzuat-Resmi Gazete] [LAW] [6698-SNAPSHOT] — KİŞİSEL VERİLERİN KORUNMASI KANUNU.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
TR-003,NB04,Turkish Code of Obligations,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-003 [TR] [Mevzuat-Resmi Gazete] [LAW] [6098-SNAPSHOT] — TÜRK BORÇLAR KANUNU.pdf,86_NOTEBOOKLM/downloads/TR-003 [TR] [Mevzuat-Resmi Gazete] [LAW] [6098-SNAPSHOT] — TÜRK BORÇLAR KANUNU.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
TR-004,NB04,Turkish Civil Code,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-004 [TR] [Mevzuat-Resmi Gazete] [LAW] [4721-SNAPSHOT] — TÜRK MEDENİ KANUNU.pdf,86_NOTEBOOKLM/downloads/TR-004 [TR] [Mevzuat-Resmi Gazete] [LAW] [4721-SNAPSHOT] — TÜRK MEDENİ KANUNU.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
TR-005,NB04,Turkish Penal Code,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-005 [TR] [Mevzuat-Resmi Gazete] [LAW] [5237-SNAPSHOT] — TÜRK CEZA KANUNU.pdf,86_NOTEBOOKLM/downloads/TR-005 [TR] [Mevzuat-Resmi Gazete] [LAW] [5237-SNAPSHOT] — TÜRK CEZA KANUNU.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
TR-006,NB04,Consumer Protection Law,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-006 [TR] [Mevzuat-Resmi Gazete] [LAW] [6502-SNAPSHOT] — TÜKETİCİNİN KORUNMASI HAKKINDA KANUN.pdf,86_NOTEBOOKLM/downloads/TR-006 [TR] [Mevzuat-Resmi Gazete] [LAW] [6502-SNAPSHOT] — TÜKETİCİNİN KORUNMASI HAKKINDA KANUN.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
TR-007,NB04,Law on Regulation of Publications on the Internet and Combating Crimes Committed Through Such Publications,https://www.mevzuat.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-007 [TR] [Mevzuat-Resmi Gazete] [LAW] [5651-SNAPSHOT] — İNTERNET ORTAMINDA YAPILAN YAYINLARIN DÜZENLENMESİ VE BU YAYINLAR YOLUYLA İŞLENEN SUÇLARLA MÜCADELE EDİLMESİ HAKKINDA KANUN.pdf,86_NOTEBOOKLM/downloads/TR-007 [TR] [Mevzuat-Resmi Gazete] [LAW] [5651-SNAPSHOT] — İNTERNET ORTAMINDA YAPILAN YAYINLARIN DÜZENLENMESİ VE BU YAYINLAR YOLUYLA İŞLENEN SUÇLARLA MÜCADELE EDİLMESİ HAKKINDA KANUN.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
TR-008,NB04,Cybersecurity Law,https://www.resmigazete.gov.tr/,MANUAL_DOWNLOAD_REQUIRED,OPTIONAL_TO_RESOLVE_R005_LIVE_CURRENTNESS,NO,"If the official portal is accessible to you, download the current official consolidated source without modifying it and provide the exact original file.",TR-008 [TR] [Mevzuat-Resmi Gazete] [LAW] [7545-AMENDED-7590-2026-07-31] — SİBER GÜVENLİK KANUNU.pdf,86_NOTEBOOKLM/downloads/TR-008 [TR] [Mevzuat-Resmi Gazete] [LAW] [7545-AMENDED-7590-2026-07-31] — SİBER GÜVENLİK KANUNU.pdf,OPEN_USER_ASSIST_OPTION,"Existing repository snapshot is already Notebook-usable with currentness warning; this manual download is for live official recheck, not required for core ingestion."
CL-002,NB06,Girardi v Emotiv Inc,https://juris.pjud.cl/busqueda/u?c5762,MANUAL_DOWNLOAD_REQUIRED,REQUIRED_TO_COMPLETE_NB06_CASE_LAYER,YES_FOR_CL002_CASE_LAYER,Download the exact official Supreme Court full-text decision from the pinned Poder Judicial source if the portal permits it; do not substitute a secondary copy.,,UPLOAD_FOR_IDENTITY_CHECK_FIRST,OPEN_USER_ASSIST_OPTION,Official decision identity is pinned but full text is blocked by anti-bot/CAPTCHA in this environment.
INC-001,NB08,The Hugging Face incident and the road ahead,https://openai.com/index/hugging-face-incident-and-the-road-ahead/,URL_DIRECT_PREFERRED,REQUIRED_TO_COMPLETE_FULL_NB08_PRIMARY_DISCLOSURE,YES_FOR_FULL_NB08,"If OpenAI exposes an official downloadable original for the incident disclosure, provide that exact file; otherwise preserve the official URL and do not create a browser-print as if it were an official binary.",INC-001 [US_GLOBAL] [OpenAI] [COMPANY-INCIDENT-DISCLOSURE] [2026-08-26-PARTIAL] — OpenAI-Hugging-Face Incident-Technical-Report.pdf,86_NOTEBOOKLM/downloads/INC-001 [US_GLOBAL] [OpenAI] [COMPANY-INCIDENT-DISCLOSURE] [2026-08-26-PARTIAL] — OpenAI-Hugging-Face Incident-Technical-Report.pdf,OPEN_USER_ASSIST_OPTION,Existing repository report is PARTIAL because official OpenAI URLs returned 403 to GitHub runner.
